日期,编码,地区,流量,月份,天,小时
201911150845,850,贵安新区,96.08,11,15,08
201911150850,850,贵安新区,35.69,11,15,08
201911150855,850,贵安新区,5.31,11,15,08
201911150900,850,贵安新区,95.75,11,15,09
201911150905,850,贵安新区,6.15,11,15,09
201911150910,850,贵安新区,20.01,11,15,09
201911150915,850,贵安新区,25.58,11,15,09
201911150920,850,贵安新区,40.30,11,15,09
201911150925,850,贵安新区,51.08,11,15,09
201911150930,850,贵安新区,59.69,11,15,09
201911150935,850,贵安新区,67.60,11,15,09
201911150940,850,贵安新区,54.28,11,15,09
201911150945,850,贵安新区,67.19,11,15,09
201911150950,850,贵安新区,147.43,11,15,09
201911150955,850,贵安新区,62.77,11,15,09
201911151000,850,贵安新区,59.70,11,15,10
201911151005,850,贵安新区,61.74,11,15,10
201911151010,850,贵安新区,71.82,11,15,10
201911151015,850,贵安新区,37.56,11,15,10
201911151020,850,贵安新区,70.55,11,15,10
201911151025,850,贵安新区,46.66,11,15,10
201911151030,850,贵安新区,112.86,11,15,10
201911151035,850,贵安新区,60.18,11,15,10
201911151040,850,贵安新区,94.40,11,15,10
201911151045,850,贵安新区,45.46,11,15,10
201911151050,850,贵安新区,37.83,11,15,10
201911151055,850,贵安新区,47.28,11,15,10
201911151100,850,贵安新区,31.36,11,15,11
201911151105,850,贵安新区,37.73,11,15,11
201911151110,850,贵安新区,78.07,11,15,11
201911151115,850,贵安新区,32.58,11,15,11
201911151120,850,贵安新区,30.20,11,15,11
201911151125,850,贵安新区,36.77,11,15,11
201911151130,850,贵安新区,43.59,11,15,11
201910270800,850,贵安新区,1.86,10,27,08
201910270805,850,贵安新区,5.69,10,27,08
201910270810,850,贵安新区,4.20,10,27,08
201910270815,850,贵安新区,0.61,10,27,08
201910270820,850,贵安新区,1.97,10,27,08
201910270825,850,贵安新区,8.99,10,27,08
201910270830,850,贵安新区,0.36,10,27,08
201910270835,850,贵安新区,0.82,10,27,08
201910270840,850,贵安新区,0.15,10,27,08
201910270845,850,贵安新区,5.68,10,27,08
201910270850,850,贵安新区,0.56,10,27,08
201910270855,850,贵安新区,4.97,10,27,08
201910270900,850,贵安新区,4.72,10,27,09
201910270905,850,贵安新区,2.55,10,27,09
201910270910,850,贵安新区,2.18,10,27,09
201910270915,850,贵安新区,0.83,10,27,09
201910270920,850,贵安新区,0.64,10,27,09
201910270925,850,贵安新区,1.69,10,27,09
201910270930,850,贵安新区,2.55,10,27,09
201910270935,850,贵安新区,1.71,10,27,09
201910270940,850,贵安新区,10.04,10,27,09
201910270945,850,贵安新区,12.65,10,27,09
201910270950,850,贵安新区,6.93,10,27,09
201910270955,850,贵安新区,1.52,10,27,09
201910271000,850,贵安新区,1.14,10,27,10
201910271005,850,贵安新区,2.57,10,27,10
201910271010,850,贵安新区,4.20,10,27,10
201910271015,850,贵安新区,1.31,10,27,10
201910271020,850,贵安新区,3.83,10,27,10
201910271025,850,贵安新区,1.18,10,27,10
201910271030,850,贵安新区,2.57,10,27,10
201910271035,850,贵安新区,3.79,10,27,10
201910271040,850,贵安新区,80.85,10,27,10
201910271045,850,贵安新区,7.47,10,27,10
201910271050,850,贵安新区,2.77,10,27,10
201910271055,850,贵安新区,3.32,10,27,10
201910271105,850,贵安新区,2.18,10,27,11
201910271110,850,贵安新区,5.63,10,27,11
201910271115,850,贵安新区,9.70,10,27,11
201910271120,850,贵安新区,3.47,10,27,11
201910271125,850,贵安新区,0.74,10,27,11
201910271130,850,贵安新区,2.18,10,27,11
201910271135,850,贵安新区,1.67,10,27,11
201910271140,850,贵安新区,9.03,10,27,11
201910271145,850,贵安新区,6.92,10,27,11
201910271150,850,贵安新区,2.51,10,27,11
201910271155,850,贵安新区,1.55,10,27,11
201910271200,850,贵安新区,5.91,10,27,12
201910271205,850,贵安新区,1.98,10,27,12
201910271210,850,贵安新区,4.48,10,27,12
201910271215,850,贵安新区,18.16,10,27,12
201910271220,850,贵安新区,2.17,10,27,12
201910271225,850,贵安新区,1.54,10,27,12
201910271230,850,贵安新区,4.36,10,27,12
201910271235,850,贵安新区,2.14,10,27,12
201910271240,850,贵安新区,5.58,10,27,12
201910271245,850,贵安新区,4.83,10,27,12
201910271250,850,贵安新区,1.27,10,27,12
201910271255,850,贵安新区,1.88,10,27,12
201910271300,850,贵安新区,5.35,10,27,13
201910271305,850,贵安新区,4.81,10,27,13
201910271310,850,贵安新区,4.48,10,27,13
201910271315,850,贵安新区,4.27,10,27,13
201910271320,850,贵安新区,1.81,10,27,13
201910271325,850,贵安新区,1.55,10,27,13
201910271330,850,贵安新区,18.47,10,27,13
201910271335,850,贵安新区,0.99,10,27,13
201910271340,850,贵安新区,0.50,10,27,13
201910271345,850,贵安新区,0.49,10,27,13
201910271350,850,贵安新区,1.84,10,27,13
201910271355,850,贵安新区,1.08,10,27,13
201910271400,850,贵安新区,2.90,10,27,14
201910271405,850,贵安新区,28.93,10,27,14
201910271410,850,贵安新区,5.12,10,27,14
201910271415,850,贵安新区,6.16,10,27,14
201910271420,850,贵安新区,2.31,10,27,14
201910271425,850,贵安新区,28.88,10,27,14
201910271430,850,贵安新区,2.48,10,27,14
201910271435,850,贵安新区,0.83,10,27,14
201910271440,850,贵安新区,2.82,10,27,14
201910271445,850,贵安新区,0.95,10,27,14
201910271450,850,贵安新区,2.70,10,27,14
201910271455,850,贵安新区,89.95,10,27,14
201910271500,850,贵安新区,2.35,10,27,15
201910271505,850,贵安新区,12.43,10,27,15
201910271510,850,贵安新区,1.70,10,27,15
201910271515,850,贵安新区,0.66,10,27,15
201910271520,850,贵安新区,6.93,10,27,15
201910271525,850,贵安新区,0.70,10,27,15
201910271530,850,贵安新区,1.61,10,27,15
201910271535,850,贵安新区,0.35,10,27,15
201910271540,850,贵安新区,2.47,10,27,15
201910271545,850,贵安新区,4.22,10,27,15
201910271550,850,贵安新区,12.65,10,27,15
201910271555,850,贵安新区,4.70,10,27,15
201910271600,850,贵安新区,2.54,10,27,16
201910271605,850,贵安新区,4.24,10,27,16
201910271610,850,贵安新区,9.40,10,27,16
201910271615,850,贵安新区,3.94,10,27,16
201910271620,850,贵安新区,5.62,10,27,16
201910271625,850,贵安新区,4.88,10,27,16
201910271630,850,贵安新区,2.29,10,27,16
201910271635,850,贵安新区,3.62,10,27,16
201910271640,850,贵安新区,1.92,10,27,16
201910271645,850,贵安新区,2.28,10,27,16
201910271650,850,贵安新区,5.52,10,27,16
201910271655,850,贵安新区,0.10,10,27,16
201910271700,850,贵安新区,6.30,10,27,17
201910271705,850,贵安新区,2.39,10,27,17
201910271710,850,贵安新区,3.28,10,27,17
201910271715,850,贵安新区,1.53,10,27,17
201910271720,850,贵安新区,7.71,10,27,17
201910271725,850,贵安新区,6.23,10,27,17
201910271730,850,贵安新区,1.57,10,27,17
201910271735,850,贵安新区,4.17,10,27,17
201910271740,850,贵安新区,1.55,10,27,17
201910271745,850,贵安新区,2.60,10,27,17
201910271750,850,贵安新区,11.85,10,27,17
201910271755,850,贵安新区,1.20,10,27,17
201910271800,850,贵安新区,1.82,10,27,18
201910271805,850,贵安新区,1.14,10,27,18
201910271810,850,贵安新区,2.78,10,27,18
201910271815,850,贵安新区,2.92,10,27,18
201910271820,850,贵安新区,2.52,10,27,18
201910271825,850,贵安新区,2.75,10,27,18
201910271830,850,贵安新区,0.23,10,27,18
201910271835,850,贵安新区,14.16,10,27,18
201910271840,850,贵安新区,1.86,10,27,18
201910271845,850,贵安新区,2.88,10,27,18
201910271850,850,贵安新区,0.93,10,27,18
201910271855,850,贵安新区,2.38,10,27,18
201910271900,850,贵安新区,3.26,10,27,19
201910271905,850,贵安新区,2.29,10,27,19
201910271910,850,贵安新区,13.53,10,27,19
201910271915,850,贵安新区,14.72,10,27,19
201910271920,850,贵安新区,36.43,10,27,19
201910271925,850,贵安新区,4.73,10,27,19
201910271930,850,贵安新区,7.62,10,27,19
201910271935,850,贵安新区,8.77,10,27,19
201910271940,850,贵安新区,10.01,10,27,19
201910271945,850,贵安新区,5.17,10,27,19
