日期,编码,地区,流量,月份,天,小时
201910271110,853,安顺,420.48,10,27,11
201910271115,853,安顺,478.60,10,27,11
201910271120,853,安顺,523.03,10,27,11
201910271125,853,安顺,375.23,10,27,11
201910271130,853,安顺,288.44,10,27,11
201910271135,853,安顺,393.57,10,27,11
201910271140,853,安顺,348.49,10,27,11
201910271145,853,安顺,439.48,10,27,11
201910271150,853,安顺,321.54,10,27,11
201910271155,853,安顺,351.21,10,27,11
201910271200,853,安顺,242.87,10,27,12
201910271205,853,安顺,416.91,10,27,12
201910271210,853,安顺,183.36,10,27,12
201910271215,853,安顺,302.10,10,27,12
201910271220,853,安顺,177.59,10,27,12
201910271225,853,安顺,328.95,10,27,12
201910271230,853,安顺,190.79,10,27,12
201910271235,853,安顺,307.46,10,27,12
201910271240,853,安顺,266.48,10,27,12
201910271245,853,安顺,302.19,10,27,12
201910271250,853,安顺,238.69,10,27,12
201910271255,853,安顺,246.40,10,27,12
201910271300,853,安顺,257.11,10,27,13
201910271305,853,安顺,292.93,10,27,13
201910271310,853,安顺,305.14,10,27,13
201910271315,853,安顺,454.80,10,27,13
201910271320,853,安顺,489.78,10,27,13
201910271325,853,安顺,518.85,10,27,13
201910271330,853,安顺,324.12,10,27,13
201910271335,853,安顺,288.53,10,27,13
201910271340,853,安顺,212.00,10,27,13
201910271345,853,安顺,241.25,10,27,13
201910271350,853,安顺,488.59,10,27,13
201910271355,853,安顺,247.83,10,27,13
201910271400,853,安顺,288.27,10,27,14
201910271405,853,安顺,242.32,10,27,14
201910271410,853,安顺,201.64,10,27,14
201910271415,853,安顺,257.58,10,27,14
201910271420,853,安顺,216.61,10,27,14
201910271425,853,安顺,384.05,10,27,14
201910271430,853,安顺,221.53,10,27,14
201910271435,853,安顺,275.36,10,27,14
201910271440,853,安顺,329.98,10,27,14
201910271445,853,安顺,317.46,10,27,14
201910271450,853,安顺,324.13,10,27,14
201910271455,853,安顺,347.27,10,27,14
201910271500,853,安顺,331.83,10,27,15
201910271505,853,安顺,436.78,10,27,15
201910271510,853,安顺,363.71,10,27,15
201910271515,853,安顺,356.09,10,27,15
201910271520,853,安顺,307.81,10,27,15
201910271525,853,安顺,301.29,10,27,15
201910271530,853,安顺,383.35,10,27,15
201910271535,853,安顺,229.30,10,27,15
201910271540,853,安顺,326.90,10,27,15
201910271545,853,安顺,275.37,10,27,15
201910271550,853,安顺,345.67,10,27,15
201910271555,853,安顺,316.58,10,27,15
201910271600,853,安顺,238.43,10,27,16
201910271605,853,安顺,234.80,10,27,16
201910271610,853,安顺,233.79,10,27,16
201910271615,853,安顺,253.74,10,27,16
201910271620,853,安顺,199.32,10,27,16
201910271625,853,安顺,172.29,10,27,16
201910271630,853,安顺,323.89,10,27,16
201910271635,853,安顺,332.60,10,27,16
201910271640,853,安顺,229.65,10,27,16
201910271645,853,安顺,214.95,10,27,16
201910271650,853,安顺,154.55,10,27,16
201910271655,853,安顺,261.77,10,27,16
201910271700,853,安顺,185.27,10,27,17
201910271705,853,安顺,250.18,10,27,17
201910271710,853,安顺,206.59,10,27,17
201910271715,853,安顺,192.04,10,27,17
201910271720,853,安顺,182.19,10,27,17
201910271725,853,安顺,151.24,10,27,17
201910271730,853,安顺,219.43,10,27,17
201910271735,853,安顺,208.41,10,27,17
201910271740,853,安顺,231.71,10,27,17
201910271745,853,安顺,230.03,10,27,17
201910271750,853,安顺,305.76,10,27,17
201910271755,853,安顺,197.68,10,27,17
201910271800,853,安顺,213.31,10,27,18
201910271805,853,安顺,226.29,10,27,18
201910271810,853,安顺,169.73,10,27,18
201910271815,853,安顺,197.37,10,27,18
201910271820,853,安顺,171.24,10,27,18
201910271825,853,安顺,156.90,10,27,18
201910271830,853,安顺,254.84,10,27,18
201910271835,853,安顺,226.61,10,27,18
201910271840,853,安顺,261.80,10,27,18
201910271845,853,安顺,237.42,10,27,18
201910271850,853,安顺,190.13,10,27,18
201910271855,853,安顺,197.45,10,27,18
201910271900,853,安顺,123.79,10,27,19
201910271905,853,安顺,128.66,10,27,19
201910271910,853,安顺,133.49,10,27,19
201910271915,853,安顺,127.55,10,27,19
201910271920,853,安顺,132.93,10,27,19
201910271925,853,安顺,137.57,10,27,19
201910271930,853,安顺,129.81,10,27,19
201910271935,853,安顺,120.76,10,27,19
201910271940,853,安顺,208.94,10,27,19
201910271945,853,安顺,208.20,10,27,19
201910271950,853,安顺,124.48,10,27,19
201910271955,853,安顺,162.94,10,27,19
201910272000,853,安顺,143.91,10,27,20
201910272005,853,安顺,171.20,10,27,20
201910272010,853,安顺,202.64,10,27,20
201910272015,853,安顺,203.54,10,27,20
201910272020,853,安顺,170.34,10,27,20
201910272025,853,安顺,175.75,10,27,20
201910272030,853,安顺,166.11,10,27,20
201910272035,853,安顺,203.20,10,27,20
201910272040,853,安顺,179.05,10,27,20
201910272045,853,安顺,190.72,10,27,20
201910272050,853,安顺,138.08,10,27,20
201910272055,853,安顺,325.43,10,27,20
201910272100,853,安顺,189.58,10,27,21
201910272105,853,安顺,333.94,10,27,21
201910272110,853,安顺,207.24,10,27,21
201910272115,853,安顺,402.04,10,27,21
201910272120,853,安顺,261.19,10,27,21
201910272125,853,安顺,318.45,10,27,21
201910272130,853,安顺,210.42,10,27,21
201910272135,853,安顺,237.50,10,27,21
201910272140,853,安顺,303.41,10,27,21
201910272145,853,安顺,296.49,10,27,21
201910272150,853,安顺,260.31,10,27,21
201910272155,853,安顺,358.18,10,27,21
201910272200,853,安顺,211.55,10,27,22
201910272205,853,安顺,434.57,10,27,22
201910272210,853,安顺,268.25,10,27,22
201910272215,853,安顺,288.86,10,27,22
201910272220,853,安顺,219.67,10,27,22
201910272225,853,安顺,279.79,10,27,22
201910272230,853,安顺,228.32,10,27,22
201910272235,853,安顺,214.09,10,27,22
201910272240,853,安顺,269.23,10,27,22
201910272245,853,安顺,236.09,10,27,22
201910272250,853,安顺,202.66,10,27,22
201910272255,853,安顺,136.55,10,27,22
201910272300,853,安顺,159.98,10,27,23
201910272305,853,安顺,97.32,10,27,23
201910272310,853,安顺,119.02,10,27,23
201910272315,853,安顺,164.74,10,27,23
201910272320,853,安顺,177.31,10,27,23
201910272325,853,安顺,210.48,10,27,23
201910272330,853,安顺,180.13,10,27,23
201910272335,853,安顺,147.34,10,27,23
201910272340,853,安顺,161.94,10,27,23
201910272345,853,安顺,175.84,10,27,23
201910272350,853,安顺,150.91,10,27,23
201910272355,853,安顺,77.52,10,27,23
201910280800,853,安顺,69.34,10,28,08
201910280805,853,安顺,55.39,10,28,08
201910280810,853,安顺,90.18,10,28,08
201910280815,853,安顺,78.78,10,28,08
201910280820,853,安顺,76.60,10,28,08
201910280825,853,安顺,62.06,10,28,08
201910280830,853,安顺,54.94,10,28,08
