日期,编码,地区,流量,月份,天,小时
201910271420,856,铜仁,1616.05,10,27,14
201910271425,856,铜仁,910.59,10,27,14
201910271430,856,铜仁,1628.78,10,27,14
201910271435,856,铜仁,1871.03,10,27,14
201910271440,856,铜仁,1226.43,10,27,14
201910271445,856,铜仁,1933.32,10,27,14
201910271450,856,铜仁,1375.93,10,27,14
201910271455,856,铜仁,1648.93,10,27,14
201910271500,856,铜仁,1197.96,10,27,15
201910271505,856,铜仁,1931.42,10,27,15
201910271510,856,铜仁,1325.58,10,27,15
201910271515,856,铜仁,1916.76,10,27,15
201910271520,856,铜仁,1462.12,10,27,15
201910271525,856,铜仁,1991.32,10,27,15
201910271530,856,铜仁,1202.37,10,27,15
201910271535,856,铜仁,1439.73,10,27,15
201910271540,856,铜仁,1275.06,10,27,15
201910271545,856,铜仁,1444.26,10,27,15
201910271550,856,铜仁,1288.29,10,27,15
201910271555,856,铜仁,1444.22,10,27,15
201910271600,856,铜仁,1496.55,10,27,16
201910271605,856,铜仁,1783.21,10,27,16
201910271610,856,铜仁,1815.33,10,27,16
201910271615,856,铜仁,1449.61,10,27,16
201910271620,856,铜仁,1412.89,10,27,16
201910271625,856,铜仁,1543.36,10,27,16
201910271630,856,铜仁,1761.66,10,27,16
201910271635,856,铜仁,1168.94,10,27,16
201910271640,856,铜仁,1334.99,10,27,16
201910271645,856,铜仁,1508.78,10,27,16
201910271650,856,铜仁,1574.93,10,27,16
201910271655,856,铜仁,1475.26,10,27,16
201910271700,856,铜仁,1453.69,10,27,17
201910271705,856,铜仁,1061.82,10,27,17
201910271710,856,铜仁,1488.83,10,27,17
201910271715,856,铜仁,1315.77,10,27,17
201910271720,856,铜仁,934.94,10,27,17
201910271725,856,铜仁,1460.43,10,27,17
201910271730,856,铜仁,994.60,10,27,17
201910271735,856,铜仁,1233.47,10,27,17
201910271740,856,铜仁,911.91,10,27,17
201910271745,856,铜仁,1177.23,10,27,17
201910271750,856,铜仁,670.92,10,27,17
201910271755,856,铜仁,832.11,10,27,17
201910271800,856,铜仁,712.48,10,27,18
201910271805,856,铜仁,606.68,10,27,18
201910271810,856,铜仁,872.91,10,27,18
201910271815,856,铜仁,546.90,10,27,18
201910271820,856,铜仁,1196.80,10,27,18
201910271825,856,铜仁,731.71,10,27,18
201910271830,856,铜仁,1217.16,10,27,18
201910271835,856,铜仁,693.09,10,27,18
201910271840,856,铜仁,1195.46,10,27,18
201910271845,856,铜仁,903.98,10,27,18
201910271850,856,铜仁,1116.61,10,27,18
201910271855,856,铜仁,915.92,10,27,18
201910271900,856,铜仁,1286.86,10,27,19
201910271905,856,铜仁,1037.53,10,27,19
201910271910,856,铜仁,1232.28,10,27,19
201910271915,856,铜仁,1273.36,10,27,19
201910271920,856,铜仁,1373.04,10,27,19
201910271925,856,铜仁,1003.26,10,27,19
201910271930,856,铜仁,1842.57,10,27,19
201910271935,856,铜仁,1230.17,10,27,19
201910271940,856,铜仁,1246.28,10,27,19
201910271945,856,铜仁,1232.25,10,27,19
201910271950,856,铜仁,1282.69,10,27,19
201910271955,856,铜仁,1287.66,10,27,19
201910272000,856,铜仁,1462.25,10,27,20
201910272005,856,铜仁,1349.91,10,27,20
201910272010,856,铜仁,1303.53,10,27,20
201910272015,856,铜仁,1653.18,10,27,20
201910272020,856,铜仁,1370.14,10,27,20
201910272025,856,铜仁,1412.29,10,27,20
201910272030,856,铜仁,1545.92,10,27,20
201910272035,856,铜仁,1302.10,10,27,20
201910272040,856,铜仁,1138.55,10,27,20
201910272045,856,铜仁,1592.53,10,27,20
201910272050,856,铜仁,992.52,10,27,20
201910272055,856,铜仁,1949.35,10,27,20
201910272100,856,铜仁,1372.87,10,27,21
201910272105,856,铜仁,1559.83,10,27,21
201910272110,856,铜仁,1438.78,10,27,21
201910272115,856,铜仁,1888.56,10,27,21
201910272120,856,铜仁,1720.35,10,27,21
201910272125,856,铜仁,1332.42,10,27,21
201910272130,856,铜仁,1311.47,10,27,21
201910272135,856,铜仁,1717.07,10,27,21
201910272140,856,铜仁,1329.70,10,27,21
201910272145,856,铜仁,2132.25,10,27,21
201910272150,856,铜仁,1364.37,10,27,21
201910272155,856,铜仁,2091.88,10,27,21
201910272200,856,铜仁,1762.93,10,27,22
201910272205,856,铜仁,1587.14,10,27,22
201910272210,856,铜仁,1554.00,10,27,22
201910272215,856,铜仁,1787.17,10,27,22
201910272220,856,铜仁,1295.18,10,27,22
201910272225,856,铜仁,1604.54,10,27,22
201910272230,856,铜仁,1749.73,10,27,22
201910272235,856,铜仁,1382.69,10,27,22
201910272240,856,铜仁,1372.05,10,27,22
201910272245,856,铜仁,1493.90,10,27,22
201910272250,856,铜仁,796.70,10,27,22
201910272255,856,铜仁,1228.03,10,27,22
201910272300,856,铜仁,1024.08,10,27,23
201910272305,856,铜仁,1012.52,10,27,23
201910272310,856,铜仁,1067.56,10,27,23
201910272315,856,铜仁,1028.18,10,27,23
201910272320,856,铜仁,872.68,10,27,23
201910272325,856,铜仁,983.10,10,27,23
201910272330,856,铜仁,795.35,10,27,23
201910272335,856,铜仁,1101.15,10,27,23
201910272340,856,铜仁,883.37,10,27,23
201910272345,856,铜仁,725.86,10,27,23
201910272350,856,铜仁,889.84,10,27,23
201910272355,856,铜仁,759.00,10,27,23
201910280800,856,铜仁,380.49,10,28,08
201910280805,856,铜仁,419.21,10,28,08
201910280810,856,铜仁,410.51,10,28,08
201910280815,856,铜仁,457.69,10,28,08
201910280820,856,铜仁,256.96,10,28,08
201910280825,856,铜仁,434.04,10,28,08
201910280830,856,铜仁,353.16,10,28,08
201910280835,856,铜仁,243.98,10,28,08
201910280840,856,铜仁,368.34,10,28,08
201910280845,856,铜仁,396.13,10,28,08
201910280850,856,铜仁,377.63,10,28,08
201910280855,856,铜仁,570.28,10,28,08
201910280900,856,铜仁,340.29,10,28,09
201910280905,856,铜仁,638.03,10,28,09
201910280910,856,铜仁,452.43,10,28,09
201910280915,856,铜仁,451.32,10,28,09
201910280920,856,铜仁,331.67,10,28,09
201910280925,856,铜仁,517.34,10,28,09
201910280930,856,铜仁,250.93,10,28,09
201910280935,856,铜仁,305.42,10,28,09
201910280940,856,铜仁,335.21,10,28,09
201910280945,856,铜仁,476.59,10,28,09
201910280950,856,铜仁,436.03,10,28,09
201910280955,856,铜仁,693.99,10,28,09
201910281000,856,铜仁,262.22,10,28,10
201910281005,856,铜仁,633.62,10,28,10
201910281010,856,铜仁,307.93,10,28,10
201910281015,856,铜仁,545.97,10,28,10
201910281020,856,铜仁,505.25,10,28,10
201910281025,856,铜仁,615.71,10,28,10
201910281030,856,铜仁,522.57,10,28,10
201910281035,856,铜仁,512.07,10,28,10
201910281040,856,铜仁,443.67,10,28,10
201910281045,856,铜仁,609.67,10,28,10
201910281050,856,铜仁,566.23,10,28,10
201910281055,856,铜仁,594.39,10,28,10
201910281100,856,铜仁,377.03,10,28,11
201911140800,856,铜仁,415.89,11,14,08
201911140805,856,铜仁,487.02,11,14,08
201911140810,856,铜仁,258.90,11,14,08
201911140815,856,铜仁,359.41,11,14,08
201911140820,856,铜仁,376.16,11,14,08
201911140825,856,铜仁,289.02,11,14,08
201911140830,856,铜仁,256.36,11,14,08
201911140835,856,铜仁,280.42,11,14,08
201911140840,856,铜仁,363.00,11,14,08
201911140845,856,铜仁,373.06,11,14,08
201911140850,856,铜仁,602.49,11,14,08
201911140855,856,铜仁,463.90,11,14,08
201911140900,856,铜仁,357.26,11,14,09
201911140905,856,铜仁,721.28,11,14,09
201911140910,856,铜仁,339.22,11,14,09
201911140915,856,铜仁,706.82,11,14,09
201911140920,856,铜仁,345.07,11,14,09
201911140925,856,铜仁,531.81,11,14,09
201911140930,856,铜仁,529.97,11,14,09
201911140935,856,铜仁,439.07,11,14,09
201911140940,856,铜仁,428.48,11,14,09
201911140945,856,铜仁,487.21,11,14,09
201911140950,856,铜仁,377.44,11,14,09
201911140955,856,铜仁,473.71,11,14,09
201911141000,856,铜仁,442.41,11,14,10
201911141005,856,铜仁,506.68,11,14,10
201911141010,856,铜仁,371.34,11,14,10
201911141015,856,铜仁,485.24,11,14,10
201911141020,856,铜仁,298.02,11,14,10
201911141025,856,铜仁,622.04,11,14,10
201911141030,856,铜仁,782.93,11,14,10
201911141035,856,铜仁,509.78,11,14,10
201911141040,856,铜仁,656.94,11,14,10
201911141045,856,铜仁,521.64,11,14,10
201911141050,856,铜仁,607.56,11,14,10
201911141055,856,铜仁,412.43,11,14,10
201911141100,856,铜仁,555.53,11,14,11
201911141105,856,铜仁,512.15,11,14,11
201911141110,856,铜仁,809.05,11,14,11
201911141115,856,铜仁,475.99,11,14,11
201911141120,856,铜仁,784.78,11,14,11
201911141125,856,铜仁,625.33,11,14,11
201911141130,856,铜仁,461.95,11,14,11
201911141135,856,铜仁,442.00,11,14,11
201911141140,856,铜仁,552.32,11,14,11
201911141145,856,铜仁,579.42,11,14,11
201911141150,856,铜仁,519.02,11,14,11
201911141155,856,铜仁,440.70,11,14,11
201911141200,856,铜仁,493.44,11,14,12
201911141205,856,铜仁,350.22,11,14,12
201911141210,856,铜仁,759.27,11,14,12
201911141215,856,铜仁,554.80,11,14,12
201911141220,856,铜仁,1137.08,11,14,12
201911141225,856,铜仁,576.85,11,14,12
201911141230,856,铜仁,707.77,11,14,12
201911141235,856,铜仁,680.44,11,14,12
201911141240,856,铜仁,689.42,11,14,12
201911141245,856,铜仁,899.26,11,14,12
201911141250,856,铜仁,1000.30,11,14,12
201911141255,856,铜仁,802.34,11,14,12
201911141300,856,铜仁,697.78,11,14,13
201911141305,856,铜仁,773.79,11,14,13
201911141310,856,铜仁,833.22,11,14,13
201911141315,856,铜仁,938.74,11,14,13
201911141320,856,铜仁,715.48,11,14,13
201911141325,856,铜仁,1014.64,11,14,13
201911141330,856,铜仁,692.15,11,14,13
201911141335,856,铜仁,812.54,11,14,13
201911141340,856,铜仁,716.82,11,14,13
201911141345,856,铜仁,770.02,11,14,13
201911141350,856,铜仁,721.59,11,14,13
201911141355,856,铜仁,907.18,11,14,13
201911141400,856,铜仁,537.67,11,14,14
201911141405,856,铜仁,647.69,11,14,14
201911141410,856,铜仁,481.84,11,14,14
201911141415,856,铜仁,570.65,11,14,14
201911141420,856,铜仁,550.38,11,14,14
201911141425,856,铜仁,677.21,11,14,14
201911141430,856,铜仁,636.05,11,14,14
201911141435,856,铜仁,563.12,11,14,14
201911141440,856,铜仁,363.04,11,14,14
201911141445,856,铜仁,798.52,11,14,14
201911141450,856,铜仁,561.36,11,14,14
201911141455,856,铜仁,626.36,11,14,14
201911141500,856,铜仁,588.13,11,14,15
201911141505,856,铜仁,415.66,11,14,15
201911141510,856,铜仁,506.18,11,14,15
201911141515,856,铜仁,490.76,11,14,15
201911141520,856,铜仁,718.61,11,14,15
201911141525,856,铜仁,420.56,11,14,15
201911141530,856,铜仁,435.74,11,14,15
201911141535,856,铜仁,587.50,11,14,15
201911141540,856,铜仁,602.30,11,14,15
201911141545,856,铜仁,601.12,11,14,15
201911141550,856,铜仁,585.53,11,14,15
201911141555,856,铜仁,643.51,11,14,15
201911141600,856,铜仁,482.45,11,14,16
201911141605,856,铜仁,814.42,11,14,16
201911141610,856,铜仁,734.23,11,14,16
201911141615,856,铜仁,647.77,11,14,16
201911141620,856,铜仁,728.64,11,14,16
201911141625,856,铜仁,946.68,11,14,16
201911141630,856,铜仁,622.84,11,14,16
201911141635,856,铜仁,619.92,11,14,16
201911141640,856,铜仁,650.48,11,14,16
201911141645,856,铜仁,511.95,11,14,16
201911141650,856,铜仁,672.55,11,14,16
201911141655,856,铜仁,573.99,11,14,16
201911141700,856,铜仁,548.36,11,14,17
201911141705,856,铜仁,559.10,11,14,17
201911141710,856,铜仁,668.30,11,14,17
201911141715,856,铜仁,578.33,11,14,17
201911141720,856,铜仁,750.26,11,14,17
201911141725,856,铜仁,560.80,11,14,17
201911141730,856,铜仁,675.87,11,14,17
201911141735,856,铜仁,756.69,11,14,17
201911141740,856,铜仁,622.15,11,14,17
201911141745,856,铜仁,765.62,11,14,17
201911141750,856,铜仁,620.12,11,14,17
201911141755,856,铜仁,756.61,11,14,17
201911141800,856,铜仁,746.77,11,14,18
201911141805,856,铜仁,707.94,11,14,18
201911141810,856,铜仁,539.32,11,14,18
201911141815,856,铜仁,832.23,11,14,18
201911141820,856,铜仁,570.35,11,14,18
201911141825,856,铜仁,777.94,11,14,18
201911141830,856,铜仁,621.38,11,14,18
201911141835,856,铜仁,876.69,11,14,18
201911141840,856,铜仁,770.23,11,14,18
201911141845,856,铜仁,587.99,11,14,18
201911141850,856,铜仁,760.61,11,14,18
201911141855,856,铜仁,686.36,11,14,18
201911141900,856,铜仁,682.31,11,14,19
201911141905,856,铜仁,677.81,11,14,19
201911141910,856,铜仁,823.38,11,14,19
201911141915,856,铜仁,750.08,11,14,19
201911141920,856,铜仁,881.37,11,14,19
201911141925,856,铜仁,605.10,11,14,19
201911141930,856,铜仁,911.91,11,14,19
201911141935,856,铜仁,1089.17,11,14,19
201911141940,856,铜仁,1147.63,11,14,19
201911141945,856,铜仁,1238.99,11,14,19
201911141950,856,铜仁,1126.53,11,14,19
201911141955,856,铜仁,1400.85,11,14,19
201911142000,856,铜仁,1516.69,11,14,20
201911142005,856,铜仁,1212.71,11,14,20
201911142010,856,铜仁,1481.34,11,14,20
201911142015,856,铜仁,1258.35,11,14,20
201911142020,856,铜仁,1130.03,11,14,20
201911142025,856,铜仁,1234.52,11,14,20
201911142030,856,铜仁,1376.04,11,14,20
201911142035,856,铜仁,1387.02,11,14,20
201911142040,856,铜仁,1584.69,11,14,20
201911142045,856,铜仁,1361.40,11,14,20
201911142050,856,铜仁,1329.34,11,14,20
201911142055,856,铜仁,1244.09,11,14,20
201911142100,856,铜仁,1181.25,11,14,21
201911142105,856,铜仁,1423.80,11,14,21
201911142110,856,铜仁,1291.57,11,14,21
201911142115,856,铜仁,1253.70,11,14,21
201911142120,856,铜仁,1027.63,11,14,21
201911142125,856,铜仁,1291.84,11,14,21
201911142130,856,铜仁,1717.25,11,14,21
201911142135,856,铜仁,1268.25,11,14,21
201911142140,856,铜仁,1107.99,11,14,21
201911142145,856,铜仁,1298.18,11,14,21
201911142150,856,铜仁,1543.90,11,14,21
201911142155,856,铜仁,1117.73,11,14,21
201911142200,856,铜仁,1391.74,11,14,22
201911142205,856,铜仁,1489.78,11,14,22
201911142210,856,铜仁,1704.50,11,14,22
201911142215,856,铜仁,1612.21,11,14,22
201911142220,856,铜仁,1129.08,11,14,22
201911142225,856,铜仁,1673.96,11,14,22
201911142230,856,铜仁,1367.69,11,14,22
201911142235,856,铜仁,1865.06,11,14,22
201911142240,856,铜仁,1515.45,11,14,22
201911142245,856,铜仁,1666.41,11,14,22
201911142250,856,铜仁,1179.61,11,14,22
201911142255,856,铜仁,1063.40,11,14,22
201911142300,856,铜仁,1166.00,11,14,23
201911142305,856,铜仁,893.18,11,14,23
201911142310,856,铜仁,1535.10,11,14,23
201911142315,856,铜仁,1476.27,11,14,23
201911142320,856,铜仁,1378.63,11,14,23
201911142325,856,铜仁,1971.76,11,14,23
201911142330,856,铜仁,1387.67,11,14,23
201911142335,856,铜仁,2112.05,11,14,23
201911142340,856,铜仁,1654.55,11,14,23
201911142345,856,铜仁,1922.05,11,14,23
201911142350,856,铜仁,2046.72,11,14,23
201911142355,856,铜仁,1363.35,11,14,23
201911150800,856,铜仁,361.16,11,15,08
201911150805,856,铜仁,264.30,11,15,08
201911150810,856,铜仁,646.30,11,15,08
201911150815,856,铜仁,411.13,11,15,08
201911150820,856,铜仁,449.62,11,15,08
201911150825,856,铜仁,405.17,11,15,08
201911150830,856,铜仁,411.77,11,15,08
201911150835,856,铜仁,371.07,11,15,08
201911150840,856,铜仁,415.40,11,15,08
201911150845,856,铜仁,257.06,11,15,08
201911150850,856,铜仁,329.41,11,15,08
201911150855,856,铜仁,376.59,11,15,08
201911150900,856,铜仁,338.46,11,15,09
201911150905,856,铜仁,451.34,11,15,09
201911150910,856,铜仁,341.49,11,15,09
201911150915,856,铜仁,497.03,11,15,09
201911150920,856,铜仁,407.77,11,15,09
201911150925,856,铜仁,452.22,11,15,09
201911150930,856,铜仁,457.73,11,15,09
201911150935,856,铜仁,339.00,11,15,09
201911150940,856,铜仁,513.75,11,15,09
201911150945,856,铜仁,505.92,11,15,09
201911150950,856,铜仁,551.23,11,15,09
201911150955,856,铜仁,745.30,11,15,09
201911151000,856,铜仁,444.55,11,15,10
201911151005,856,铜仁,702.82,11,15,10
201911151010,856,铜仁,418.40,11,15,10
201911151015,856,铜仁,556.06,11,15,10
201911151020,856,铜仁,417.96,11,15,10
201911151025,856,铜仁,545.29,11,15,10
201911151030,856,铜仁,417.04,11,15,10
201911151035,856,铜仁,599.93,11,15,10
201911151040,856,铜仁,470.21,11,15,10
201911151045,856,铜仁,692.80,11,15,10
201911151050,856,铜仁,376.38,11,15,10
201911151055,856,铜仁,692.96,11,15,10
201911151100,856,铜仁,530.30,11,15,11
201911151105,856,铜仁,716.40,11,15,11
201911151110,856,铜仁,425.38,11,15,11
201911151115,856,铜仁,721.82,11,15,11
201911151120,856,铜仁,641.60,11,15,11
201911151125,856,铜仁,595.69,11,15,11
201911151130,856,铜仁,713.54,11,15,11
