日期,编码,地区,业务类型,流量
201911150810,853,安顺,音乐,11363.90
201911150815,853,安顺,音乐,10791.97
201911150820,853,安顺,音乐,10655.93
201911150825,853,安顺,音乐,10906.86
201911150830,853,安顺,音乐,11511.91
201911150835,853,安顺,音乐,11103.19
201911150840,853,安顺,音乐,10861.33
201911150845,853,安顺,音乐,10910.67
201911150850,853,安顺,音乐,11957.62
201911150855,853,安顺,音乐,10510.79
201911150900,853,安顺,音乐,11434.00
201911150905,853,安顺,音乐,11246.91
201911150910,853,安顺,音乐,11455.45
201911150915,853,安顺,音乐,11856.08
201911150920,853,安顺,音乐,12602.09
201911150925,853,安顺,音乐,11571.72
201911150930,853,安顺,音乐,15067.91
201911150935,853,安顺,音乐,12171.29
201911150940,853,安顺,音乐,11210.26
201911150945,853,安顺,音乐,12352.58
201911150950,853,安顺,音乐,10765.25
201911150955,853,安顺,音乐,12070.98
201911151000,853,安顺,音乐,11887.97
201911151005,853,安顺,音乐,11867.17
201911151010,853,安顺,音乐,14196.74
201911151015,853,安顺,音乐,13252.72
201911151020,853,安顺,音乐,12390.36
201911151025,853,安顺,音乐,12254.67
201911151030,853,安顺,音乐,11233.22
201911151035,853,安顺,音乐,13205.70
201911151040,853,安顺,音乐,12514.62
201911151045,853,安顺,音乐,14045.55
201911151050,853,安顺,音乐,12880.66
201911151055,853,安顺,音乐,17778.57
201911151100,853,安顺,音乐,14414.47
201911151105,853,安顺,音乐,13800.05
201911151110,853,安顺,音乐,14235.99
201911151115,853,安顺,音乐,13760.43
201911151120,853,安顺,音乐,14017.38
201911151125,853,安顺,音乐,14194.67
201911151130,853,安顺,音乐,12679.07
201910270800,853,安顺,音乐,8107.76
201910270805,853,安顺,音乐,8173.41
201910270810,853,安顺,音乐,8467.25
201910270815,853,安顺,音乐,9186.11
201910270820,853,安顺,音乐,9141.40
201910270825,853,安顺,音乐,12402.29
201910270830,853,安顺,音乐,10501.85
201910270835,853,安顺,音乐,9746.57
201910270840,853,安顺,音乐,11174.54
201910270845,853,安顺,音乐,11220.58
201910270850,853,安顺,音乐,10431.59
201910270855,853,安顺,音乐,14169.07
201910270900,853,安顺,音乐,11646.66
201910270905,853,安顺,音乐,12525.61
201910270910,853,安顺,音乐,12444.79
201910270915,853,安顺,音乐,13368.91
201910270920,853,安顺,音乐,12904.83
201910270925,853,安顺,音乐,14550.89
201910270930,853,安顺,音乐,14576.51
201910270935,853,安顺,音乐,16827.48
201910270940,853,安顺,音乐,15489.99
201910270945,853,安顺,音乐,15333.65
201910270950,853,安顺,音乐,16801.72
201910270955,853,安顺,音乐,16396.66
201910271000,853,安顺,音乐,17059.65
201910271005,853,安顺,音乐,16902.32
201910271010,853,安顺,音乐,16978.15
201910271015,853,安顺,音乐,17058.01
201910271020,853,安顺,音乐,18561.12
201910271025,853,安顺,音乐,17879.42
201910271030,853,安顺,音乐,18508.43
201910271035,853,安顺,音乐,21039.23
201910271040,853,安顺,音乐,18892.71
201910271045,853,安顺,音乐,18382.61
201910271050,853,安顺,音乐,19436.18
201910271055,853,安顺,音乐,19643.41
201910271105,853,安顺,音乐,20061.85
201910271110,853,安顺,音乐,18709.04
201910271115,853,安顺,音乐,20957.78
201910271120,853,安顺,音乐,21352.83
201910271125,853,安顺,音乐,20952.86
201910271130,853,安顺,音乐,20835.44
201910271135,853,安顺,音乐,21402.95
201910271140,853,安顺,音乐,20991.90
201910271145,853,安顺,音乐,19959.00
201910271150,853,安顺,音乐,21359.08
201910271155,853,安顺,音乐,20503.53
201910271200,853,安顺,音乐,20351.95
201910271205,853,安顺,音乐,20123.25
201910271210,853,安顺,音乐,20506.41
201910271215,853,安顺,音乐,20231.41
201910271220,853,安顺,音乐,20039.63
201910271225,853,安顺,音乐,22196.45
201910271230,853,安顺,音乐,21570.23
201910271235,853,安顺,音乐,21002.61
201910271240,853,安顺,音乐,22379.15
201910271245,853,安顺,音乐,23329.07
201910271250,853,安顺,音乐,23090.09
201910271255,853,安顺,音乐,24054.98
201910271300,853,安顺,音乐,21923.74
201910271305,853,安顺,音乐,24648.16
201910271310,853,安顺,音乐,22337.19
201910271315,853,安顺,音乐,22206.02
201910271320,853,安顺,音乐,21593.69
201910271325,853,安顺,音乐,24519.64
201910271330,853,安顺,音乐,22036.16
201910271335,853,安顺,音乐,23288.80
201910271340,853,安顺,音乐,22503.81
201910271345,853,安顺,音乐,24440.28
201910271350,853,安顺,音乐,23576.59
201910271355,853,安顺,音乐,21908.51
201910271400,853,安顺,音乐,22420.61
201910271405,853,安顺,音乐,20858.01
201910271410,853,安顺,音乐,22562.68
201910271415,853,安顺,音乐,23370.51
201910271420,853,安顺,音乐,21390.60
201910271425,853,安顺,音乐,24353.11
201910271430,853,安顺,音乐,22204.85
201910271435,853,安顺,音乐,23082.58
201910271440,853,安顺,音乐,23644.18
201910271445,853,安顺,音乐,20838.33
201910271450,853,安顺,音乐,21139.57
201910271455,853,安顺,音乐,22662.03
201910271500,853,安顺,音乐,21447.42
201910271505,853,安顺,音乐,22689.16
201910271510,853,安顺,音乐,22000.07
201910271515,853,安顺,音乐,23093.09
201910271520,853,安顺,音乐,22182.97
201910271525,853,安顺,音乐,23403.29
201910271530,853,安顺,音乐,23670.98
201910271535,853,安顺,音乐,22156.87
201910271540,853,安顺,音乐,21879.49
201910271545,853,安顺,音乐,22087.24
201910271550,853,安顺,音乐,22150.76
201910271555,853,安顺,音乐,22087.59
201910271600,853,安顺,音乐,21697.57
201910271605,853,安顺,音乐,21421.09
201910271610,853,安顺,音乐,22064.90
201910271615,853,安顺,音乐,21990.09
201910271620,853,安顺,音乐,21612.41
201910271625,853,安顺,音乐,23369.80
201910271630,853,安顺,音乐,22294.38
201910271635,853,安顺,音乐,23223.31
201910271640,853,安顺,音乐,22535.87
201910271645,853,安顺,音乐,20825.59
201910271650,853,安顺,音乐,22503.98
201910271655,853,安顺,音乐,22399.17
201910271700,853,安顺,音乐,22267.03
201910271705,853,安顺,音乐,21069.67
201910271710,853,安顺,音乐,20211.06
201910271715,853,安顺,音乐,20414.83
201910271720,853,安顺,音乐,20605.11
201910271725,853,安顺,音乐,21353.26
201910271730,853,安顺,音乐,23172.84
201910271735,853,安顺,音乐,19313.05
201910271740,853,安顺,音乐,21026.54
201910271745,853,安顺,音乐,20694.11
201910271750,853,安顺,音乐,21126.43
201910271755,853,安顺,音乐,19785.47
201910271800,853,安顺,音乐,21089.80
201910271805,853,安顺,音乐,18232.26
201910271810,853,安顺,音乐,21513.11
201910271815,853,安顺,音乐,19931.81
201910271820,853,安顺,音乐,22953.74
201910271825,853,安顺,音乐,20192.83
201910271830,853,安顺,音乐,22825.73
201910271835,853,安顺,音乐,21254.11
201910271840,853,安顺,音乐,22774.26
201910271845,853,安顺,音乐,22347.16
201910271850,853,安顺,音乐,8299.19
201910271855,853,安顺,音乐,24833.61
201910271900,853,安顺,音乐,25085.95
201910271905,853,安顺,音乐,29221.13
201910271910,853,安顺,音乐,28323.03
201910271915,853,安顺,音乐,26606.11
201910271920,853,安顺,音乐,26610.10
201910271925,853,安顺,音乐,27989.75
201910271930,853,安顺,音乐,28730.02
201910271935,853,安顺,音乐,29187.83
201910271940,853,安顺,音乐,30356.05
201910271945,853,安顺,音乐,32595.91
201910271950,853,安顺,音乐,30460.82
201910271955,853,安顺,音乐,31534.01
201910272000,853,安顺,音乐,33379.48
201910272005,853,安顺,音乐,33789.33
201910272010,853,安顺,音乐,36032.97
201910272015,853,安顺,音乐,35049.80
201910272020,853,安顺,音乐,31967.57
201910272025,853,安顺,音乐,36702.16
201910272030,853,安顺,音乐,37724.53
201910272035,853,安顺,音乐,38560.14
201910272040,853,安顺,音乐,39562.04
201910272045,853,安顺,音乐,37353.66
201910272050,853,安顺,音乐,40009.31
201910272055,853,安顺,音乐,39259.23
201910272100,853,安顺,音乐,39332.59
201910272105,853,安顺,音乐,40738.58
201910272110,853,安顺,音乐,41150.96
201910272115,853,安顺,音乐,41951.39
201910272120,853,安顺,音乐,41792.65
201910272125,853,安顺,音乐,41877.21
201910272130,853,安顺,音乐,43449.22
201910272135,853,安顺,音乐,40069.84
201910272140,853,安顺,音乐,37539.24
201910272145,853,安顺,音乐,43292.04
201910272150,853,安顺,音乐,38553.82
201910272155,853,安顺,音乐,40689.68
201910272200,853,安顺,音乐,43017.53
201910272205,853,安顺,音乐,40463.24
201910272210,853,安顺,音乐,37258.93
201910272215,853,安顺,音乐,39682.73
201910272220,853,安顺,音乐,36272.55
201910272225,853,安顺,音乐,36100.29
201910272230,853,安顺,音乐,36453.17
201910272235,853,安顺,音乐,37484.81
201910272240,853,安顺,音乐,36812.78
201910272245,853,安顺,音乐,38002.40
201910272250,853,安顺,音乐,36147.90
201910272255,853,安顺,音乐,33068.42
201910272300,853,安顺,音乐,33622.19
201910272305,853,安顺,音乐,34245.80
201910272310,853,安顺,音乐,31413.78
201910272315,853,安顺,音乐,31298.20
201910272320,853,安顺,音乐,29978.12
201910272325,853,安顺,音乐,30645.94
201910272330,853,安顺,音乐,33941.77
201910272335,853,安顺,音乐,27748.93
201910272340,853,安顺,音乐,25882.98
201910272345,853,安顺,音乐,26755.88
201910272350,853,安顺,音乐,25108.12
201910272355,853,安顺,音乐,26525.89
201910280800,853,安顺,音乐,9051.25
201910280805,853,安顺,音乐,9124.04
201910280810,853,安顺,音乐,9997.22
201910280815,853,安顺,音乐,9087.08
201910280820,853,安顺,音乐,9955.44
201910280825,853,安顺,音乐,8954.91
201910280830,853,安顺,音乐,9598.14
201910280835,853,安顺,音乐,8834.32
201910280840,853,安顺,音乐,8724.51
201910280845,853,安顺,音乐,8678.20
201910280850,853,安顺,音乐,8205.73
201910280855,853,安顺,音乐,8040.03
201910280900,853,安顺,音乐,9276.53
201910280905,853,安顺,音乐,8211.06
201910280910,853,安顺,音乐,8909.46
201910280915,853,安顺,音乐,8137.27
201910280920,853,安顺,音乐,9025.15
201910280925,853,安顺,音乐,8044.74
201910280930,853,安顺,音乐,8882.25
201910280935,853,安顺,音乐,9288.26
201910280940,853,安顺,音乐,9038.34
201910280945,853,安顺,音乐,9117.76
201910280950,853,安顺,音乐,9070.63
201910280955,853,安顺,音乐,9838.49
201910281000,853,安顺,音乐,9411.11
201910281005,853,安顺,音乐,10965.65
201910281010,853,安顺,音乐,10927.43
201910281015,853,安顺,音乐,10512.58
201910281020,853,安顺,音乐,10291.20
201910281025,853,安顺,音乐,10482.85
201910281030,853,安顺,音乐,11871.65
201910281035,853,安顺,音乐,10755.58
201910281040,853,安顺,音乐,10552.34
201910281045,853,安顺,音乐,10461.09
201910281050,853,安顺,音乐,10656.29
201910281055,853,安顺,音乐,10201.03
201910281100,853,安顺,音乐,12339.46
201911140800,853,安顺,音乐,10669.63
201911140805,853,安顺,音乐,10962.15
201911140810,853,安顺,音乐,10709.78
201911140815,853,安顺,音乐,10448.08
