日期,编码,地区,业务类型,流量
201910271635,852,遵义,其他,0.00
201910271640,852,遵义,其他,0.00
201910271645,852,遵义,其他,0.00
201910271650,852,遵义,其他,0.00
201910271655,852,遵义,其他,0.00
201910271700,852,遵义,其他,0.00
201910271705,852,遵义,其他,0.00
201910271710,852,遵义,其他,0.00
201910271715,852,遵义,其他,0.00
201910271720,852,遵义,其他,0.00
201910271725,852,遵义,其他,0.00
201910271730,852,遵义,其他,0.00
201910271735,852,遵义,其他,0.00
201910271740,852,遵义,其他,0.00
201910271745,852,遵义,其他,0.00
201910271750,852,遵义,其他,0.00
201910271755,852,遵义,其他,0.00
201910271800,852,遵义,其他,0.00
201910271805,852,遵义,其他,0.00
201910271810,852,遵义,其他,0.00
201910271815,852,遵义,其他,0.00
201910271820,852,遵义,其他,0.00
201910271825,852,遵义,其他,0.00
201910271830,852,遵义,其他,0.00
201910271835,852,遵义,其他,0.00
201910271840,852,遵义,其他,0.00
201910271845,852,遵义,其他,0.00
201910271850,852,遵义,其他,0.00
201910271855,852,遵义,其他,0.00
201910271900,852,遵义,其他,0.00
201910271905,852,遵义,其他,0.00
201910271910,852,遵义,其他,0.00
201910271915,852,遵义,其他,0.00
201910271920,852,遵义,其他,0.00
201910271925,852,遵义,其他,0.00
201910271930,852,遵义,其他,0.00
201910271935,852,遵义,其他,0.00
201910271940,852,遵义,其他,0.00
201910271945,852,遵义,其他,0.00
201910271950,852,遵义,其他,0.00
201910271955,852,遵义,其他,0.00
201910272000,852,遵义,其他,0.00
201910272005,852,遵义,其他,0.00
201910272010,852,遵义,其他,0.00
201910272015,852,遵义,其他,0.00
201910272020,852,遵义,其他,0.00
201910272025,852,遵义,其他,0.00
201910272030,852,遵义,其他,0.00
201910272035,852,遵义,其他,0.00
201910272040,852,遵义,其他,0.00
201910272045,852,遵义,其他,0.00
201910272050,852,遵义,其他,0.00
201910272055,852,遵义,其他,0.00
201910272100,852,遵义,其他,0.00
201910272105,852,遵义,其他,0.00
201910272110,852,遵义,其他,0.00
201910272115,852,遵义,其他,0.00
201910272120,852,遵义,其他,0.00
201910272125,852,遵义,其他,0.00
201910272130,852,遵义,其他,0.00
201910272135,852,遵义,其他,0.00
201910272140,852,遵义,其他,0.00
201910272145,852,遵义,其他,0.00
201910272150,852,遵义,其他,0.00
201910272155,852,遵义,其他,0.00
201910272200,852,遵义,其他,0.00
201910272205,852,遵义,其他,0.00
201910272210,852,遵义,其他,0.00
201910272215,852,遵义,其他,0.00
201910272220,852,遵义,其他,0.00
201910272225,852,遵义,其他,0.00
201910272230,852,遵义,其他,0.00
201910272235,852,遵义,其他,0.00
201910272240,852,遵义,其他,0.00
201910272245,852,遵义,其他,0.00
201910272250,852,遵义,其他,0.00
201910272255,852,遵义,其他,0.00
201910272300,852,遵义,其他,0.00
201910272305,852,遵义,其他,0.00
201910272310,852,遵义,其他,0.00
201910272315,852,遵义,其他,0.00
201910272320,852,遵义,其他,0.00
201910272325,852,遵义,其他,0.00
201910272330,852,遵义,其他,0.00
201910272335,852,遵义,其他,0.00
201910272340,852,遵义,其他,0.00
201910272345,852,遵义,其他,0.00
201910272350,852,遵义,其他,0.00
201910272355,852,遵义,其他,0.00
201910280800,852,遵义,其他,0.00
201910280805,852,遵义,其他,0.00
201910280810,852,遵义,其他,0.00
201910280815,852,遵义,其他,0.00
201910280820,852,遵义,其他,0.00
201910280825,852,遵义,其他,0.00
201910280830,852,遵义,其他,0.00
201910280835,852,遵义,其他,0.00
201910280840,852,遵义,其他,0.00
201910280845,852,遵义,其他,0.00
201910280850,852,遵义,其他,0.00
201910280855,852,遵义,其他,0.00
201910280900,852,遵义,其他,0.00
201910280905,852,遵义,其他,0.00
201910280910,852,遵义,其他,0.00
201910280915,852,遵义,其他,0.00
201910280920,852,遵义,其他,0.00
201910280925,852,遵义,其他,0.00
201910280930,852,遵义,其他,0.00
201910280935,852,遵义,其他,0.00
201910280940,852,遵义,其他,0.00
201910280945,852,遵义,其他,0.00
201910280950,852,遵义,其他,0.00
201910280955,852,遵义,其他,0.00
201910281000,852,遵义,其他,0.00
201910281005,852,遵义,其他,0.00
201910281010,852,遵义,其他,0.00
201910281015,852,遵义,其他,0.00
201910281020,852,遵义,其他,0.00
201910281025,852,遵义,其他,0.00
201910281030,852,遵义,其他,0.00
201910281035,852,遵义,其他,0.00
201910281040,852,遵义,其他,0.00
201910281045,852,遵义,其他,0.00
201910281050,852,遵义,其他,0.00
201910281055,852,遵义,其他,0.00
201910281100,852,遵义,其他,0.00
201911140800,852,遵义,其他,0.00
201911140805,852,遵义,其他,0.00
201911140810,852,遵义,其他,0.00
201911140815,852,遵义,其他,0.00
201911140820,852,遵义,其他,0.00
201911140825,852,遵义,其他,0.00
201911140830,852,遵义,其他,0.00
201911140835,852,遵义,其他,0.00
201911140840,852,遵义,其他,0.00
201911140845,852,遵义,其他,0.00
201911140850,852,遵义,其他,0.00
201911140855,852,遵义,其他,0.00
201911140900,852,遵义,其他,0.00
201911140905,852,遵义,其他,0.00
201911140910,852,遵义,其他,0.00
201911140915,852,遵义,其他,0.00
201911140920,852,遵义,其他,0.00
201911140925,852,遵义,其他,0.00
201911140930,852,遵义,其他,0.00
201911140935,852,遵义,其他,0.00
201911140940,852,遵义,其他,0.00
201911140945,852,遵义,其他,0.00
201911140950,852,遵义,其他,0.00
201911140955,852,遵义,其他,0.00
201911141000,852,遵义,其他,0.00
201911141005,852,遵义,其他,0.00
201911141010,852,遵义,其他,0.00
201911141015,852,遵义,其他,0.00
201911141020,852,遵义,其他,0.00
201911141025,852,遵义,其他,0.00
201911141030,852,遵义,其他,0.00
201911141035,852,遵义,其他,0.00
201911141040,852,遵义,其他,0.00
201911141045,852,遵义,其他,0.00
201911141050,852,遵义,其他,0.00
201911141055,852,遵义,其他,0.00
201911141100,852,遵义,其他,0.00
201911141105,852,遵义,其他,0.00
201911141110,852,遵义,其他,0.00
201911141115,852,遵义,其他,0.00
201911141120,852,遵义,其他,0.00
201911141125,852,遵义,其他,0.00
201911141130,852,遵义,其他,0.00
201911141135,852,遵义,其他,0.00
201911141140,852,遵义,其他,0.00
201911141145,852,遵义,其他,0.00
201911141150,852,遵义,其他,0.00
201911141155,852,遵义,其他,0.00
201911141200,852,遵义,其他,0.00
201911141205,852,遵义,其他,0.00
201911141210,852,遵义,其他,0.00
201911141215,852,遵义,其他,0.00
201911141220,852,遵义,其他,0.00
201911141225,852,遵义,其他,0.00
201911141230,852,遵义,其他,0.00
201911141235,852,遵义,其他,0.00
201911141240,852,遵义,其他,0.00
201911141245,852,遵义,其他,0.00
201911141250,852,遵义,其他,0.00
201911141255,852,遵义,其他,0.00
201911141300,852,遵义,其他,0.00
201911141305,852,遵义,其他,0.00
201911141310,852,遵义,其他,0.00
201911141315,852,遵义,其他,0.00
201911141320,852,遵义,其他,0.00
201911141325,852,遵义,其他,0.00
201911141330,852,遵义,其他,0.00
201911141335,852,遵义,其他,0.00
201911141340,852,遵义,其他,0.00
201911141345,852,遵义,其他,0.00
201911141350,852,遵义,其他,0.00
201911141355,852,遵义,其他,0.00
201911141400,852,遵义,其他,0.00
201911141405,852,遵义,其他,0.00
201911141410,852,遵义,其他,0.00
201911141415,852,遵义,其他,0.00
201911141420,852,遵义,其他,0.00
201911141425,852,遵义,其他,0.00
201911141430,852,遵义,其他,0.00
201911141435,852,遵义,其他,0.00
201911141440,852,遵义,其他,0.00
201911141445,852,遵义,其他,0.00
201911141450,852,遵义,其他,0.00
201911141455,852,遵义,其他,0.00
201911141500,852,遵义,其他,0.00
201911141505,852,遵义,其他,0.00
201911141510,852,遵义,其他,0.00
201911141515,852,遵义,其他,0.00
201911141520,852,遵义,其他,0.00
201911141525,852,遵义,其他,0.00
201911141530,852,遵义,其他,0.00
201911141535,852,遵义,其他,0.00
201911141540,852,遵义,其他,0.00
201911141545,852,遵义,其他,0.00
201911141550,852,遵义,其他,0.00
201911141555,852,遵义,其他,0.00
201911141600,852,遵义,其他,0.00
201911141605,852,遵义,其他,0.00
201911141610,852,遵义,其他,0.00
201911141615,852,遵义,其他,0.00
201911141620,852,遵义,其他,0.00
201911141625,852,遵义,其他,0.00
201911141630,852,遵义,其他,0.00
201911141635,852,遵义,其他,0.00
201911141640,852,遵义,其他,0.00
201911141645,852,遵义,其他,0.00
201911141650,852,遵义,其他,0.00
201911141655,852,遵义,其他,0.00
201911141700,852,遵义,其他,0.00
201911141705,852,遵义,其他,0.00
201911141710,852,遵义,其他,0.00
201911141715,852,遵义,其他,0.00
201911141720,852,遵义,其他,0.00
201911141725,852,遵义,其他,0.00
201911141730,852,遵义,其他,0.00
201911141735,852,遵义,其他,0.00
201911141740,852,遵义,其他,0.00
201911141745,852,遵义,其他,0.00
201911141750,852,遵义,其他,0.00
201911141755,852,遵义,其他,0.00
201911141800,852,遵义,其他,0.00
201911141805,852,遵义,其他,0.00
201911141810,852,遵义,其他,0.00
201911141815,852,遵义,其他,0.00
201911141820,852,遵义,其他,0.00
201911141825,852,遵义,其他,0.00
201911141830,852,遵义,其他,0.00
201911141835,852,遵义,其他,0.00
201911141840,852,遵义,其他,0.00
201911141845,852,遵义,其他,0.00
201911141850,852,遵义,其他,0.00
201911141855,852,遵义,其他,0.00
201911141900,852,遵义,其他,0.00
201911141905,852,遵义,其他,0.00
201911141910,852,遵义,其他,0.00
201911141915,852,遵义,其他,0.00
201911141920,852,遵义,其他,0.00
201911141925,852,遵义,其他,0.00
201911141930,852,遵义,其他,0.00
201911141935,852,遵义,其他,0.00
201911141940,852,遵义,其他,0.00
201911141945,852,遵义,其他,0.00
201911141950,852,遵义,其他,0.00
201911141955,852,遵义,其他,0.00
201911142000,852,遵义,其他,0.00
201911142005,852,遵义,其他,0.00
201911142010,852,遵义,其他,0.00
201911142015,852,遵义,其他,0.00
201911142020,852,遵义,其他,0.00
201911142025,852,遵义,其他,0.00
201911142030,852,遵义,其他,0.00
201911142035,852,遵义,其他,0.00
201911142040,852,遵义,其他,0.00
201911142045,852,遵义,其他,0.00
201911142050,852,遵义,其他,0.00
201911142055,852,遵义,其他,0.00
201911142100,852,遵义,其他,0.00
201911142105,852,遵义,其他,0.00
201911142110,852,遵义,其他,0.00
201911142115,852,遵义,其他,0.00
201911142120,852,遵义,其他,0.00
201911142125,852,遵义,其他,0.00
201911142130,852,遵义,其他,0.00
201911142135,852,遵义,其他,0.00
201911142140,852,遵义,其他,0.00
201911142145,852,遵义,其他,0.00
201911142150,852,遵义,其他,0.00
201911142155,852,遵义,其他,0.00
201911142200,852,遵义,其他,0.00
201911142205,852,遵义,其他,0.00
201911142210,852,遵义,其他,0.00
201911142215,852,遵义,其他,0.00
201911142220,852,遵义,其他,0.00
201911142225,852,遵义,其他,0.00
201911142230,852,遵义,其他,0.00
201911142235,852,遵义,其他,0.00
201911142240,852,遵义,其他,0.00
201911142245,852,遵义,其他,0.00
201911142250,852,遵义,其他,0.00
201911142255,852,遵义,其他,0.00
201911142300,852,遵义,其他,0.00
201911142305,852,遵义,其他,0.00
201911142310,852,遵义,其他,0.00
201911142315,852,遵义,其他,0.00
201911142320,852,遵义,其他,0.00
201911142325,852,遵义,其他,0.00
201911142330,852,遵义,其他,0.00
201911142335,852,遵义,其他,0.00
201911142340,852,遵义,其他,0.00
201911142345,852,遵义,其他,0.00
201911142350,852,遵义,其他,0.00
201911142355,852,遵义,其他,0.00
201911150800,852,遵义,其他,0.00
201911150805,852,遵义,其他,0.00
201911150810,852,遵义,其他,0.00
201911150815,852,遵义,其他,0.00
201911150820,852,遵义,其他,0.00
201911150825,852,遵义,其他,0.00
201911150830,852,遵义,其他,0.00
201911150835,852,遵义,其他,0.00
201911150840,852,遵义,其他,0.00
201911150845,852,遵义,其他,0.00
201911150850,852,遵义,其他,0.00
201911150855,852,遵义,其他,0.00
201911150900,852,遵义,其他,0.00
201911150905,852,遵义,其他,0.00
201911150910,852,遵义,其他,0.00
201911150915,852,遵义,其他,0.00
201911150920,852,遵义,其他,0.00
201911150925,852,遵义,其他,0.00
201911150930,852,遵义,其他,0.00
201911150935,852,遵义,其他,0.00
201911150940,852,遵义,其他,0.00
201911150945,852,遵义,其他,0.00
201911150950,852,遵义,其他,0.00
201911150955,852,遵义,其他,0.00
201911151000,852,遵义,其他,0.00
201911151005,852,遵义,其他,0.00
201911151010,852,遵义,其他,0.00
201911151015,852,遵义,其他,0.00
201911151020,852,遵义,其他,0.00
201911151025,852,遵义,其他,0.00
201911151030,852,遵义,其他,0.00
201911151035,852,遵义,其他,0.00
201911151040,852,遵义,其他,0.00
201911151045,852,遵义,其他,0.00
201911151050,852,遵义,其他,0.00
201911151055,852,遵义,其他,0.00
201911151100,852,遵义,其他,0.00
201911151105,852,遵义,其他,0.00
201911151110,852,遵义,其他,0.00
201911151115,852,遵义,其他,0.00
201911151120,852,遵义,其他,0.00
201911151125,852,遵义,其他,0.00
201911151130,852,遵义,其他,0.00
