日期,编码,地区,流量,月份,天,小时
201911142325,851,贵阳,31996.35,11,14,23
201911142330,851,贵阳,34503.00,11,14,23
201911142335,851,贵阳,30494.97,11,14,23
201911142340,851,贵阳,31800.01,11,14,23
201911142345,851,贵阳,30776.81,11,14,23
201911142350,851,贵阳,28847.50,11,14,23
201911142355,851,贵阳,30378.64,11,14,23
201911150800,851,贵阳,31154.78,11,15,08
201911150805,851,贵阳,33368.04,11,15,08
201911150810,851,贵阳,33733.50,11,15,08
201911150815,851,贵阳,32553.10,11,15,08
201911150820,851,贵阳,35480.80,11,15,08
201911150825,851,贵阳,34233.89,11,15,08
201911150830,851,贵阳,34318.11,11,15,08
201911150835,851,贵阳,33941.30,11,15,08
201911150840,851,贵阳,33401.13,11,15,08
201911150845,851,贵阳,34367.49,11,15,08
201911150850,851,贵阳,33931.98,11,15,08
201911150855,851,贵阳,33014.92,11,15,08
201911150900,851,贵阳,34341.42,11,15,09
201911150905,851,贵阳,32918.95,11,15,09
201911150910,851,贵阳,35285.52,11,15,09
201911150915,851,贵阳,35484.39,11,15,09
201911150920,851,贵阳,37710.34,11,15,09
201911150925,851,贵阳,33714.35,11,15,09
201911150930,851,贵阳,35007.39,11,15,09
201911150935,851,贵阳,34972.43,11,15,09
201911150940,851,贵阳,34774.06,11,15,09
201911150945,851,贵阳,37187.42,11,15,09
201911150950,851,贵阳,35436.00,11,15,09
201911150955,851,贵阳,37999.29,11,15,09
201911151000,851,贵阳,35744.62,11,15,10
201911151005,851,贵阳,37435.01,11,15,10
201911151010,851,贵阳,35504.09,11,15,10
201911151015,851,贵阳,38087.70,11,15,10
201911151020,851,贵阳,37133.34,11,15,10
201911151025,851,贵阳,35878.98,11,15,10
201911151030,851,贵阳,39384.85,11,15,10
201911151035,851,贵阳,35482.70,11,15,10
201911151040,851,贵阳,38545.31,11,15,10
201911151045,851,贵阳,34811.84,11,15,10
201911151050,851,贵阳,37936.72,11,15,10
201911151055,851,贵阳,36966.88,11,15,10
201911151100,851,贵阳,36362.05,11,15,11
201911151105,851,贵阳,37985.57,11,15,11
201911151110,851,贵阳,40676.31,11,15,11
201911151115,851,贵阳,39988.16,11,15,11
201911151120,851,贵阳,37051.39,11,15,11
201911151125,851,贵阳,38843.48,11,15,11
201911151130,851,贵阳,38984.13,11,15,11
201910270800,851,贵阳,77844.10,10,27,08
201910270805,851,贵阳,79791.02,10,27,08
201910270810,851,贵阳,81245.64,10,27,08
201910270815,851,贵阳,78353.84,10,27,08
201910270820,851,贵阳,85630.44,10,27,08
201910270825,851,贵阳,82456.97,10,27,08
201910270830,851,贵阳,91068.08,10,27,08
201910270835,851,贵阳,88092.64,10,27,08
201910270840,851,贵阳,92272.06,10,27,08
201910270845,851,贵阳,91195.10,10,27,08
201910270850,851,贵阳,93517.03,10,27,08
201910270855,851,贵阳,92387.37,10,27,08
201910270900,851,贵阳,99715.85,10,27,09
201910270905,851,贵阳,96163.43,10,27,09
201910270910,851,贵阳,101625.80,10,27,09
201910270915,851,贵阳,103443.07,10,27,09
201910270920,851,贵阳,105864.22,10,27,09
201910270925,851,贵阳,101583.01,10,27,09
201910270930,851,贵阳,108324.07,10,27,09
201910270935,851,贵阳,103308.13,10,27,09
201910270940,851,贵阳,106299.04,10,27,09
201910270945,851,贵阳,103538.58,10,27,09
201910270950,851,贵阳,111371.06,10,27,09
201910270955,851,贵阳,113332.43,10,27,09
201910271000,851,贵阳,113878.81,10,27,10
201910271005,851,贵阳,116240.34,10,27,10
201910271010,851,贵阳,116216.63,10,27,10
201910271015,851,贵阳,116448.72,10,27,10
201910271020,851,贵阳,116837.51,10,27,10
201910271025,851,贵阳,117620.15,10,27,10
201910271030,851,贵阳,124346.43,10,27,10
201910271035,851,贵阳,123888.46,10,27,10
201910271040,851,贵阳,123920.28,10,27,10
201910271045,851,贵阳,124405.58,10,27,10
201910271050,851,贵阳,127935.25,10,27,10
201910271055,851,贵阳,125763.33,10,27,10
201910271105,851,贵阳,129396.66,10,27,11
201910271110,851,贵阳,128639.61,10,27,11
201910271115,851,贵阳,129511.07,10,27,11
201910271120,851,贵阳,128076.00,10,27,11
201910271125,851,贵阳,134291.50,10,27,11
201910271130,851,贵阳,130672.57,10,27,11
201910271135,851,贵阳,134135.15,10,27,11
201910271140,851,贵阳,136167.82,10,27,11
201910271145,851,贵阳,132005.10,10,27,11
201910271150,851,贵阳,133435.48,10,27,11
201910271155,851,贵阳,131871.06,10,27,11
201910271200,851,贵阳,137440.10,10,27,12
201910271205,851,贵阳,135343.03,10,27,12
201910271210,851,贵阳,133567.77,10,27,12
201910271215,851,贵阳,137095.88,10,27,12
201910271220,851,贵阳,139676.31,10,27,12
201910271225,851,贵阳,139312.09,10,27,12
201910271230,851,贵阳,141344.26,10,27,12
201910271235,851,贵阳,144377.13,10,27,12
201910271240,851,贵阳,147248.98,10,27,12
201910271245,851,贵阳,141385.52,10,27,12
201910271250,851,贵阳,139197.92,10,27,12
201910271255,851,贵阳,141031.94,10,27,12
201910271300,851,贵阳,143444.69,10,27,13
201910271305,851,贵阳,140440.52,10,27,13
201910271310,851,贵阳,141057.29,10,27,13
201910271315,851,贵阳,138140.43,10,27,13
201910271320,851,贵阳,138132.98,10,27,13
201910271325,851,贵阳,136170.88,10,27,13
201910271330,851,贵阳,133749.90,10,27,13
201910271335,851,贵阳,132036.29,10,27,13
201910271340,851,贵阳,135475.54,10,27,13
201910271345,851,贵阳,133951.32,10,27,13
201910271350,851,贵阳,137503.18,10,27,13
201910271355,851,贵阳,133360.43,10,27,13
201910271400,851,贵阳,132666.40,10,27,14
201910271405,851,贵阳,136771.13,10,27,14
201910271410,851,贵阳,136919.15,10,27,14
201910271415,851,贵阳,134402.26,10,27,14
201910271420,851,贵阳,135605.66,10,27,14
201910271425,851,贵阳,133928.24,10,27,14
201910271430,851,贵阳,129260.67,10,27,14
201910271435,851,贵阳,129730.66,10,27,14
201910271440,851,贵阳,132120.39,10,27,14
201910271445,851,贵阳,133634.94,10,27,14
201910271450,851,贵阳,136285.76,10,27,14
201910271455,851,贵阳,135290.52,10,27,14
201910271500,851,贵阳,143939.98,10,27,15
201910271505,851,贵阳,135717.57,10,27,15
201910271510,851,贵阳,135434.51,10,27,15
201910271515,851,贵阳,140382.75,10,27,15
201910271520,851,贵阳,135380.88,10,27,15
201910271525,851,贵阳,139422.96,10,27,15
201910271530,851,贵阳,137287.64,10,27,15
201910271535,851,贵阳,138213.49,10,27,15
201910271540,851,贵阳,141868.67,10,27,15
201910271545,851,贵阳,140693.40,10,27,15
201910271550,851,贵阳,137688.14,10,27,15
201910271555,851,贵阳,141759.32,10,27,15
201910271600,851,贵阳,137575.21,10,27,16
201910271605,851,贵阳,134999.86,10,27,16
201910271610,851,贵阳,135400.96,10,27,16
201910271615,851,贵阳,134179.39,10,27,16
201910271620,851,贵阳,132641.21,10,27,16
201910271625,851,贵阳,138634.57,10,27,16
201910271630,851,贵阳,135904.06,10,27,16
201910271635,851,贵阳,140161.12,10,27,16
201910271640,851,贵阳,135198.93,10,27,16
201910271645,851,贵阳,140272.34,10,27,16
201910271650,851,贵阳,141162.07,10,27,16
201910271655,851,贵阳,138529.13,10,27,16
201910271700,851,贵阳,139121.79,10,27,17
201910271705,851,贵阳,137067.60,10,27,17
201910271710,851,贵阳,139388.72,10,27,17
201910271715,851,贵阳,136507.65,10,27,17
201910271720,851,贵阳,143242.92,10,27,17
201910271725,851,贵阳,139423.72,10,27,17
201910271730,851,贵阳,139650.74,10,27,17
201910271735,851,贵阳,135951.94,10,27,17
201910271740,851,贵阳,134849.47,10,27,17
201910271745,851,贵阳,136091.30,10,27,17
201910271750,851,贵阳,134519.05,10,27,17
201910271755,851,贵阳,133744.33,10,27,17
201910271800,851,贵阳,134916.38,10,27,18
201910271805,851,贵阳,134344.32,10,27,18
201910271810,851,贵阳,138278.26,10,27,18
201910271815,851,贵阳,136577.68,10,27,18
201910271820,851,贵阳,139549.84,10,27,18
201910271825,851,贵阳,137304.69,10,27,18
201910271830,851,贵阳,137705.45,10,27,18
201910271835,851,贵阳,138380.99,10,27,18
201910271840,851,贵阳,141708.11,10,27,18
201910271845,851,贵阳,144086.29,10,27,18
201910271850,851,贵阳,150365.40,10,27,18
201910271855,851,贵阳,146407.30,10,27,18
201910271900,851,贵阳,141996.95,10,27,19
201910271905,851,贵阳,142744.16,10,27,19
201910271910,851,贵阳,140633.23,10,27,19
201910271915,851,贵阳,143573.45,10,27,19
201910271920,851,贵阳,145291.72,10,27,19
201910271925,851,贵阳,148046.98,10,27,19
201910271930,851,贵阳,150800.85,10,27,19
201910271935,851,贵阳,147481.20,10,27,19
201910271940,851,贵阳,149782.16,10,27,19
201910271945,851,贵阳,147132.21,10,27,19
201910271950,851,贵阳,145752.72,10,27,19
