日期,编码,地区,流量,月份,天,小时
201910271130,851,贵阳,111718.88,10,27,11
201910271135,851,贵阳,111006.65,10,27,11
201910271140,851,贵阳,101558.66,10,27,11
201910271145,851,贵阳,103453.59,10,27,11
201910271150,851,贵阳,109494.38,10,27,11
201910271155,851,贵阳,110081.66,10,27,11
201910271200,851,贵阳,110799.95,10,27,12
201910271205,851,贵阳,114063.67,10,27,12
201910271210,851,贵阳,113598.73,10,27,12
201910271215,851,贵阳,106201.42,10,27,12
201910271220,851,贵阳,116357.45,10,27,12
201910271225,851,贵阳,109377.72,10,27,12
201910271230,851,贵阳,110223.98,10,27,12
201910271235,851,贵阳,115845.83,10,27,12
201910271240,851,贵阳,122930.32,10,27,12
201910271245,851,贵阳,122432.70,10,27,12
201910271250,851,贵阳,120647.00,10,27,12
201910271255,851,贵阳,110355.83,10,27,12
201910271300,851,贵阳,125499.46,10,27,13
201910271305,851,贵阳,107349.27,10,27,13
201910271310,851,贵阳,105215.80,10,27,13
201910271315,851,贵阳,108185.66,10,27,13
201910271320,851,贵阳,103549.17,10,27,13
201910271325,851,贵阳,110440.83,10,27,13
201910271330,851,贵阳,113924.29,10,27,13
201910271335,851,贵阳,108671.06,10,27,13
201910271340,851,贵阳,116568.43,10,27,13
201910271345,851,贵阳,109405.48,10,27,13
201910271350,851,贵阳,110191.32,10,27,13
201910271355,851,贵阳,104617.09,10,27,13
201910271400,851,贵阳,109542.79,10,27,14
201910271405,851,贵阳,109454.02,10,27,14
201910271410,851,贵阳,118944.53,10,27,14
201910271415,851,贵阳,120892.52,10,27,14
201910271420,851,贵阳,121326.85,10,27,14
201910271425,851,贵阳,111012.96,10,27,14
201910271430,851,贵阳,123769.11,10,27,14
201910271435,851,贵阳,119599.36,10,27,14
201910271440,851,贵阳,111636.71,10,27,14
201910271445,851,贵阳,110193.14,10,27,14
201910271450,851,贵阳,103869.16,10,27,14
201910271455,851,贵阳,103998.19,10,27,14
201910271500,851,贵阳,118496.85,10,27,15
201910271505,851,贵阳,115784.34,10,27,15
201910271510,851,贵阳,110595.46,10,27,15
201910271515,851,贵阳,112716.18,10,27,15
201910271520,851,贵阳,113947.33,10,27,15
201910271525,851,贵阳,110743.91,10,27,15
201910271530,851,贵阳,115124.55,10,27,15
201910271535,851,贵阳,106807.24,10,27,15
201910271540,851,贵阳,112325.49,10,27,15
201910271545,851,贵阳,120144.20,10,27,15
201910271550,851,贵阳,102887.88,10,27,15
201910271555,851,贵阳,109280.62,10,27,15
201910271600,851,贵阳,112260.56,10,27,16
201910271605,851,贵阳,107736.36,10,27,16
201910271610,851,贵阳,104956.60,10,27,16
201910271615,851,贵阳,108374.89,10,27,16
201910271620,851,贵阳,111389.33,10,27,16
201910271625,851,贵阳,116200.21,10,27,16
201910271630,851,贵阳,103801.88,10,27,16
201910271635,851,贵阳,115477.25,10,27,16
201910271640,851,贵阳,114803.44,10,27,16
201910271645,851,贵阳,110209.48,10,27,16
201910271650,851,贵阳,111265.87,10,27,16
201910271655,851,贵阳,116180.67,10,27,16
201910271700,851,贵阳,107576.20,10,27,17
201910271705,851,贵阳,104616.30,10,27,17
201910271710,851,贵阳,105518.97,10,27,17
201910271715,851,贵阳,105371.36,10,27,17
201910271720,851,贵阳,106792.62,10,27,17
201910271725,851,贵阳,98465.12,10,27,17
201910271730,851,贵阳,104356.21,10,27,17
201910271735,851,贵阳,106799.79,10,27,17
201910271740,851,贵阳,109098.30,10,27,17
201910271745,851,贵阳,116646.75,10,27,17
201910271750,851,贵阳,91035.67,10,27,17
201910271755,851,贵阳,111469.68,10,27,17
201910271800,851,贵阳,99797.75,10,27,18
201910271805,851,贵阳,106336.63,10,27,18
201910271810,851,贵阳,105671.26,10,27,18
201910271815,851,贵阳,118012.83,10,27,18
201910271820,851,贵阳,116091.48,10,27,18
201910271825,851,贵阳,132025.52,10,27,18
201910271830,851,贵阳,112329.54,10,27,18
201910271835,851,贵阳,125674.71,10,27,18
201910271840,851,贵阳,111182.89,10,27,18
201910271845,851,贵阳,117489.41,10,27,18
201910271850,851,贵阳,108872.64,10,27,18
201910271855,851,贵阳,118956.32,10,27,18
201910271900,851,贵阳,118770.10,10,27,19
201910271905,851,贵阳,123090.81,10,27,19
201910271910,851,贵阳,113139.39,10,27,19
201910271915,851,贵阳,112178.86,10,27,19
201910271920,851,贵阳,103576.66,10,27,19
201910271925,851,贵阳,112590.65,10,27,19
201910271930,851,贵阳,108008.92,10,27,19
201910271935,851,贵阳,105526.21,10,27,19
201910271940,851,贵阳,99096.36,10,27,19
