日期,编码,地区,流量,月份,天,小时
201911150810,851,贵阳,5279.04,11,15,08
201911150815,851,贵阳,5371.87,11,15,08
201911150820,851,贵阳,5838.08,11,15,08
201911150825,851,贵阳,6406.77,11,15,08
201911150830,851,贵阳,7003.92,11,15,08
201911150835,851,贵阳,7880.55,11,15,08
201911150840,851,贵阳,8412.86,11,15,08
201911150845,851,贵阳,9512.15,11,15,08
201911150850,851,贵阳,10168.92,11,15,08
201911150855,851,贵阳,9482.65,11,15,08
201911150900,851,贵阳,10131.50,11,15,09
201911150905,851,贵阳,10355.53,11,15,09
201911150910,851,贵阳,11066.61,11,15,09
201911150915,851,贵阳,11102.83,11,15,09
201911150920,851,贵阳,12073.41,11,15,09
201911150925,851,贵阳,10930.22,11,15,09
201911150930,851,贵阳,11860.40,11,15,09
201911150935,851,贵阳,13638.97,11,15,09
201911150940,851,贵阳,12475.64,11,15,09
201911150945,851,贵阳,13773.28,11,15,09
201911150950,851,贵阳,11608.33,11,15,09
201911150955,851,贵阳,11648.24,11,15,09
201911151000,851,贵阳,11088.95,11,15,10
201911151005,851,贵阳,11989.86,11,15,10
201911151010,851,贵阳,13036.30,11,15,10
201911151015,851,贵阳,12825.48,11,15,10
201911151020,851,贵阳,12841.30,11,15,10
201911151025,851,贵阳,13746.34,11,15,10
201911151030,851,贵阳,13622.65,11,15,10
201911151035,851,贵阳,13252.37,11,15,10
201911151040,851,贵阳,15024.46,11,15,10
201911151045,851,贵阳,13790.68,11,15,10
201911151050,851,贵阳,14742.12,11,15,10
201911151055,851,贵阳,14818.39,11,15,10
201911151100,851,贵阳,14111.66,11,15,11
201911151105,851,贵阳,14653.10,11,15,11
201911151110,851,贵阳,16898.00,11,15,11
201911151115,851,贵阳,17381.01,11,15,11
201911151120,851,贵阳,16166.94,11,15,11
201911151125,851,贵阳,14686.90,11,15,11
201911151130,851,贵阳,13759.81,11,15,11
201910270800,851,贵阳,4616.40,10,27,08
201910270805,851,贵阳,5350.08,10,27,08
201910270810,851,贵阳,5430.42,10,27,08
201910270815,851,贵阳,5595.78,10,27,08
201910270820,851,贵阳,6622.73,10,27,08
201910270825,851,贵阳,6032.30,10,27,08
201910270830,851,贵阳,6789.70,10,27,08
201910270835,851,贵阳,6738.79,10,27,08
201910270840,851,贵阳,7444.30,10,27,08
201910270845,851,贵阳,8015.92,10,27,08
201910270850,851,贵阳,8231.38,10,27,08
201910270855,851,贵阳,8053.30,10,27,08
201910270900,851,贵阳,8284.03,10,27,09
201910270905,851,贵阳,8794.10,10,27,09
201910270910,851,贵阳,9931.62,10,27,09
201910270915,851,贵阳,9922.53,10,27,09
201910270920,851,贵阳,10445.32,10,27,09
201910270925,851,贵阳,9881.50,10,27,09
201910270930,851,贵阳,11548.63,10,27,09
201910270935,851,贵阳,12188.78,10,27,09
201910270940,851,贵阳,13241.45,10,27,09
201910270945,851,贵阳,11752.52,10,27,09
201910270950,851,贵阳,12196.51,10,27,09
201910270955,851,贵阳,12951.11,10,27,09
201910271000,851,贵阳,12709.23,10,27,10
201910271005,851,贵阳,12964.11,10,27,10
201910271010,851,贵阳,14493.74,10,27,10
201910271015,851,贵阳,14346.16,10,27,10
201910271020,851,贵阳,14275.13,10,27,10
201910271025,851,贵阳,14826.64,10,27,10
201910271030,851,贵阳,14837.50,10,27,10
201910271035,851,贵阳,15176.68,10,27,10
201910271040,851,贵阳,16647.52,10,27,10
201910271045,851,贵阳,16174.58,10,27,10
201910271050,851,贵阳,18466.50,10,27,10
201910271055,851,贵阳,18046.13,10,27,10
201910271105,851,贵阳,19152.00,10,27,11
201910271110,851,贵阳,18626.86,10,27,11
201910271115,851,贵阳,19799.65,10,27,11
201910271120,851,贵阳,19198.48,10,27,11
201910271125,851,贵阳,20766.05,10,27,11
201910271130,851,贵阳,19820.47,10,27,11
201910271135,851,贵阳,18813.54,10,27,11
201910271140,851,贵阳,20078.08,10,27,11
201910271145,851,贵阳,19070.45,10,27,11
201910271150,851,贵阳,20684.58,10,27,11
201910271155,851,贵阳,20633.42,10,27,11
201910271200,851,贵阳,19531.69,10,27,12
201910271205,851,贵阳,19368.42,10,27,12
201910271210,851,贵阳,20542.24,10,27,12
201910271215,851,贵阳,21068.36,10,27,12
201910271220,851,贵阳,22355.34,10,27,12
201910271225,851,贵阳,22648.32,10,27,12
201910271230,851,贵阳,22609.68,10,27,12
201910271235,851,贵阳,21751.56,10,27,12
201910271240,851,贵阳,22309.53,10,27,12
201910271245,851,贵阳,22869.01,10,27,12
201910271250,851,贵阳,22245.42,10,27,12
201910271255,851,贵阳,23299.13,10,27,12
201910271300,851,贵阳,22298.78,10,27,13
201910271305,851,贵阳,24039.27,10,27,13
201910271310,851,贵阳,21864.36,10,27,13
201910271315,851,贵阳,23542.49,10,27,13
201910271320,851,贵阳,21965.44,10,27,13
201910271325,851,贵阳,23740.03,10,27,13
201910271330,851,贵阳,22458.94,10,27,13
201910271335,851,贵阳,22468.72,10,27,13
201910271340,851,贵阳,22294.35,10,27,13
201910271345,851,贵阳,22780.73,10,27,13
201910271350,851,贵阳,24152.16,10,27,13
201910271355,851,贵阳,25897.83,10,27,13
201910271400,851,贵阳,24395.97,10,27,14
201910271405,851,贵阳,24644.28,10,27,14
201910271410,851,贵阳,24781.46,10,27,14
201910271415,851,贵阳,26003.78,10,27,14
201910271420,851,贵阳,23935.35,10,27,14
201910271425,851,贵阳,23485.98,10,27,14
201910271430,851,贵阳,24478.49,10,27,14
201910271435,851,贵阳,25692.96,10,27,14
201910271440,851,贵阳,24085.23,10,27,14
201910271445,851,贵阳,23454.46,10,27,14
201910271450,851,贵阳,25268.55,10,27,14
201910271455,851,贵阳,23404.38,10,27,14
201910271500,851,贵阳,25189.54,10,27,15
201910271505,851,贵阳,24859.31,10,27,15
201910271510,851,贵阳,23755.31,10,27,15
201910271515,851,贵阳,24484.87,10,27,15
201910271520,851,贵阳,24179.79,10,27,15
201910271525,851,贵阳,24046.53,10,27,15
201910271530,851,贵阳,24134.26,10,27,15
201910271535,851,贵阳,23020.61,10,27,15
201910271540,851,贵阳,22996.35,10,27,15
201910271545,851,贵阳,24260.05,10,27,15
201910271550,851,贵阳,21882.27,10,27,15
201910271555,851,贵阳,23847.68,10,27,15
201910271600,851,贵阳,22162.40,10,27,16
201910271605,851,贵阳,24544.08,10,27,16
201910271610,851,贵阳,22823.69,10,27,16
201910271615,851,贵阳,22729.41,10,27,16
201910271620,851,贵阳,23483.88,10,27,16
201910271625,851,贵阳,22901.47,10,27,16
201910271630,851,贵阳,22462.06,10,27,16
201910271635,851,贵阳,20659.76,10,27,16
201910271640,851,贵阳,20849.41,10,27,16
201910271645,851,贵阳,23385.89,10,27,16
201910271650,851,贵阳,22926.21,10,27,16
201910271655,851,贵阳,20955.97,10,27,16
201910271700,851,贵阳,20605.58,10,27,17
201910271705,851,贵阳,21504.56,10,27,17
201910271710,851,贵阳,21646.41,10,27,17
201910271715,851,贵阳,20770.18,10,27,17
201910271720,851,贵阳,19271.40,10,27,17
201910271725,851,贵阳,19600.34,10,27,17
201910271730,851,贵阳,19260.86,10,27,17
201910271735,851,贵阳,19622.35,10,27,17
201910271740,851,贵阳,18931.26,10,27,17
201910271745,851,贵阳,19209.84,10,27,17
201910271750,851,贵阳,18576.25,10,27,17
201910271755,851,贵阳,17732.52,10,27,17
201910271800,851,贵阳,17284.34,10,27,18
201910271805,851,贵阳,18565.78,10,27,18
201910271810,851,贵阳,17558.88,10,27,18
201910271815,851,贵阳,18011.83,10,27,18
201910271820,851,贵阳,18565.28,10,27,18
201910271825,851,贵阳,17017.81,10,27,18
201910271830,851,贵阳,17846.66,10,27,18
201910271835,851,贵阳,17019.89,10,27,18
201910271840,851,贵阳,16238.49,10,27,18
201910271845,851,贵阳,18055.19,10,27,18
201910271850,851,贵阳,17649.53,10,27,18
201910271855,851,贵阳,18412.06,10,27,18
201910271900,851,贵阳,18150.34,10,27,19
201910271905,851,贵阳,19345.27,10,27,19
201910271910,851,贵阳,19741.52,10,27,19
201910271915,851,贵阳,21187.20,10,27,19
201910271920,851,贵阳,21820.15,10,27,19
201910271925,851,贵阳,21278.40,10,27,19
201910271930,851,贵阳,21425.09,10,27,19
201910271935,851,贵阳,20880.37,10,27,19
201910271940,851,贵阳,21319.22,10,27,19
201910271945,851,贵阳,22657.58,10,27,19
