日期,编码,地区,业务类型,流量
201911151005,850,贵安新区,网盘云服务,487.18
201911151010,850,贵安新区,网盘云服务,609.51
201911151015,850,贵安新区,网盘云服务,556.66
201911151020,850,贵安新区,网盘云服务,1033.61
201911151025,850,贵安新区,网盘云服务,1389.05
201911151030,850,贵安新区,网盘云服务,1382.21
201911151035,850,贵安新区,网盘云服务,1521.67
201911151040,850,贵安新区,网盘云服务,1038.99
201911151045,850,贵安新区,网盘云服务,1216.55
201911151050,850,贵安新区,网盘云服务,1064.23
201911151055,850,贵安新区,网盘云服务,1394.90
201911151100,850,贵安新区,网盘云服务,1087.42
201911151105,850,贵安新区,网盘云服务,1326.49
201911151110,850,贵安新区,网盘云服务,2380.55
201911151115,850,贵安新区,网盘云服务,603.01
201911151120,850,贵安新区,网盘云服务,1379.70
201911151125,850,贵安新区,网盘云服务,1219.12
201911151130,850,贵安新区,网盘云服务,877.50
201910270800,850,贵安新区,网盘云服务,92.09
201910270805,850,贵安新区,网盘云服务,11.14
201910270810,850,贵安新区,网盘云服务,86.84
201910270815,850,贵安新区,网盘云服务,76.13
201910270820,850,贵安新区,网盘云服务,131.28
201910270825,850,贵安新区,网盘云服务,242.74
201910270830,850,贵安新区,网盘云服务,182.12
201910270835,850,贵安新区,网盘云服务,180.35
201910270840,850,贵安新区,网盘云服务,289.04
201910270845,850,贵安新区,网盘云服务,264.17
201910270850,850,贵安新区,网盘云服务,212.37
201910270855,850,贵安新区,网盘云服务,188.76
201910270900,850,贵安新区,网盘云服务,359.43
201910270905,850,贵安新区,网盘云服务,138.90
201910270910,850,贵安新区,网盘云服务,115.45
201910270915,850,贵安新区,网盘云服务,206.78
201910270920,850,贵安新区,网盘云服务,234.98
201910270925,850,贵安新区,网盘云服务,227.69
201910270930,850,贵安新区,网盘云服务,226.17
201910270935,850,贵安新区,网盘云服务,208.75
201910270940,850,贵安新区,网盘云服务,215.89
201910270945,850,贵安新区,网盘云服务,176.99
201910270950,850,贵安新区,网盘云服务,369.57
201910270955,850,贵安新区,网盘云服务,168.82
201910271000,850,贵安新区,网盘云服务,273.30
201910271005,850,贵安新区,网盘云服务,180.00
201910271010,850,贵安新区,网盘云服务,131.23
201910271015,850,贵安新区,网盘云服务,249.42
201910271020,850,贵安新区,网盘云服务,260.53
201910271025,850,贵安新区,网盘云服务,340.93
201910271030,850,贵安新区,网盘云服务,238.46
201910271035,850,贵安新区,网盘云服务,160.77
201910271040,850,贵安新区,网盘云服务,215.76
201910271045,850,贵安新区,网盘云服务,130.11
201910271050,850,贵安新区,网盘云服务,237.83
201910271055,850,贵安新区,网盘云服务,387.18
201910271105,850,贵安新区,网盘云服务,492.26
201910271110,850,贵安新区,网盘云服务,254.64
201910271115,850,贵安新区,网盘云服务,313.87
201910271120,850,贵安新区,网盘云服务,329.20
201910271125,850,贵安新区,网盘云服务,154.73
201910271130,850,贵安新区,网盘云服务,210.18
201910271135,850,贵安新区,网盘云服务,182.94
201910271140,850,贵安新区,网盘云服务,172.23
201910271145,850,贵安新区,网盘云服务,372.89
201910271150,850,贵安新区,网盘云服务,421.57
201910271155,850,贵安新区,网盘云服务,666.94
201910271200,850,贵安新区,网盘云服务,292.72
201910271205,850,贵安新区,网盘云服务,301.94
201910271210,850,贵安新区,网盘云服务,516.57
201910271215,850,贵安新区,网盘云服务,407.85
201910271220,850,贵安新区,网盘云服务,211.62
201910271225,850,贵安新区,网盘云服务,422.09
201910271230,850,贵安新区,网盘云服务,301.02
201910271235,850,贵安新区,网盘云服务,548.19
201910271240,850,贵安新区,网盘云服务,512.23
201910271245,850,贵安新区,网盘云服务,355.81
201910271250,850,贵安新区,网盘云服务,377.11
201910271255,850,贵安新区,网盘云服务,369.41
201910271300,850,贵安新区,网盘云服务,256.73
201910271305,850,贵安新区,网盘云服务,298.62
201910271310,850,贵安新区,网盘云服务,323.81
201910271315,850,贵安新区,网盘云服务,326.69
201910271320,850,贵安新区,网盘云服务,326.61
201910271325,850,贵安新区,网盘云服务,927.83
201910271330,850,贵安新区,网盘云服务,302.47
201910271335,850,贵安新区,网盘云服务,178.07
201910271340,850,贵安新区,网盘云服务,293.74
201910271345,850,贵安新区,网盘云服务,390.11
201910271350,850,贵安新区,网盘云服务,420.66
201910271355,850,贵安新区,网盘云服务,279.63
201910271400,850,贵安新区,网盘云服务,141.52
201910271405,850,贵安新区,网盘云服务,158.61
201910271410,850,贵安新区,网盘云服务,258.49
201910271415,850,贵安新区,网盘云服务,235.66
201910271420,850,贵安新区,网盘云服务,129.06
201910271425,850,贵安新区,网盘云服务,340.19
201910271430,850,贵安新区,网盘云服务,354.11
201910271435,850,贵安新区,网盘云服务,242.67
201910271440,850,贵安新区,网盘云服务,467.92
201910271445,850,贵安新区,网盘云服务,200.50
201910271450,850,贵安新区,网盘云服务,281.29
201910271455,850,贵安新区,网盘云服务,228.22
201910271500,850,贵安新区,网盘云服务,347.65
201910271505,850,贵安新区,网盘云服务,191.13
201910271510,850,贵安新区,网盘云服务,294.16
201910271515,850,贵安新区,网盘云服务,534.31
201910271520,850,贵安新区,网盘云服务,314.94
201910271525,850,贵安新区,网盘云服务,301.96
201910271530,850,贵安新区,网盘云服务,276.03
201910271535,850,贵安新区,网盘云服务,202.86
201910271540,850,贵安新区,网盘云服务,329.82
201910271545,850,贵安新区,网盘云服务,144.65
201910271550,850,贵安新区,网盘云服务,255.21
201910271555,850,贵安新区,网盘云服务,232.43
201910271600,850,贵安新区,网盘云服务,287.75
201910271605,850,贵安新区,网盘云服务,222.86
201910271610,850,贵安新区,网盘云服务,361.69
201910271615,850,贵安新区,网盘云服务,396.98
201910271620,850,贵安新区,网盘云服务,314.80
201910271625,850,贵安新区,网盘云服务,215.44
201910271630,850,贵安新区,网盘云服务,148.91
201910271635,850,贵安新区,网盘云服务,219.61
201910271640,850,贵安新区,网盘云服务,227.95
201910271645,850,贵安新区,网盘云服务,289.13
201910271650,850,贵安新区,网盘云服务,167.57
201910271655,850,贵安新区,网盘云服务,285.06
201910271700,850,贵安新区,网盘云服务,234.23
201910271705,850,贵安新区,网盘云服务,234.92
201910271710,850,贵安新区,网盘云服务,320.83
201910271715,850,贵安新区,网盘云服务,202.74
