日期,编码,地区,业务类型,流量
201910271615,85,贵州,邮箱,1641.98
201910271620,85,贵州,邮箱,1656.82
201910271625,85,贵州,邮箱,1547.13
201910271630,85,贵州,邮箱,1515.53
201910271635,85,贵州,邮箱,1578.53
201910271640,85,贵州,邮箱,1616.39
201910271645,85,贵州,邮箱,1572.36
201910271650,85,贵州,邮箱,1491.95
201910271655,85,贵州,邮箱,1697.36
201910271700,85,贵州,邮箱,1519.73
201910271705,85,贵州,邮箱,1690.97
201910271710,85,贵州,邮箱,1568.61
201910271715,85,贵州,邮箱,1668.67
201910271720,85,贵州,邮箱,1704.08
201910271725,85,贵州,邮箱,1585.28
201910271730,85,贵州,邮箱,1530.66
201910271735,85,贵州,邮箱,1640.31
201910271740,85,贵州,邮箱,1521.48
201910271745,85,贵州,邮箱,1453.71
201910271750,85,贵州,邮箱,1532.53
201910271755,85,贵州,邮箱,1484.47
201910271800,85,贵州,邮箱,1454.17
201910271805,85,贵州,邮箱,1369.78
201910271810,85,贵州,邮箱,1295.90
201910271815,85,贵州,邮箱,1419.07
201910271820,85,贵州,邮箱,1399.48
201910271825,85,贵州,邮箱,1416.79
201910271830,85,贵州,邮箱,1484.80
201910271835,85,贵州,邮箱,1230.18
201910271840,85,贵州,邮箱,1305.56
201910271845,85,贵州,邮箱,1534.04
201910271850,85,贵州,邮箱,1473.66
201910271855,85,贵州,邮箱,1376.38
201910271900,85,贵州,邮箱,1458.32
201910271905,85,贵州,邮箱,1586.61
201910271910,85,贵州,邮箱,1625.97
201910271915,85,贵州,邮箱,1382.60
201910271920,85,贵州,邮箱,1576.63
201910271925,85,贵州,邮箱,1963.31
201910271930,85,贵州,邮箱,1438.45
201910271935,85,贵州,邮箱,2460.99
201910271940,85,贵州,邮箱,1492.71
201910271945,85,贵州,邮箱,1436.02
201910271950,85,贵州,邮箱,1516.24
201910271955,85,贵州,邮箱,1338.37
201910272000,85,贵州,邮箱,1408.28
201910272005,85,贵州,邮箱,1321.51
201910272010,85,贵州,邮箱,1524.53
201910272015,85,贵州,邮箱,1303.11
201910272020,85,贵州,邮箱,1530.54
201910272025,85,贵州,邮箱,1492.30
201910272030,85,贵州,邮箱,1315.11
201910272035,85,贵州,邮箱,1452.94
201910272040,85,贵州,邮箱,1344.34
201910272045,85,贵州,邮箱,1571.08
201910272050,85,贵州,邮箱,1450.24
201910272055,85,贵州,邮箱,1531.43
201910272100,85,贵州,邮箱,1379.45
201910272105,85,贵州,邮箱,1350.46
201910272110,85,贵州,邮箱,1437.87
201910272115,85,贵州,邮箱,1579.59
201910272120,85,贵州,邮箱,1495.99
201910272125,85,贵州,邮箱,1371.10
201910272130,85,贵州,邮箱,1573.51
201910272135,85,贵州,邮箱,1624.19
201910272140,85,贵州,邮箱,1675.55
201910272145,85,贵州,邮箱,1700.18
201910272150,85,贵州,邮箱,1417.60
201910272155,85,贵州,邮箱,1308.24
201910272200,85,贵州,邮箱,1313.13
201910272205,85,贵州,邮箱,1213.87
201910272210,85,贵州,邮箱,1339.02
201910272215,85,贵州,邮箱,1357.73
201910272220,85,贵州,邮箱,1353.34
201910272225,85,贵州,邮箱,1478.28
201910272230,85,贵州,邮箱,2383.07
201910272235,85,贵州,邮箱,1367.08
201910272240,85,贵州,邮箱,1401.98
201910272245,85,贵州,邮箱,1239.45
201910272250,85,贵州,邮箱,1231.89
201910272255,85,贵州,邮箱,1189.54
201910272300,85,贵州,邮箱,1264.61
201910272305,85,贵州,邮箱,1228.70
201910272310,85,贵州,邮箱,1180.05
201910272315,85,贵州,邮箱,1212.84
201910272320,85,贵州,邮箱,1251.18
201910272325,85,贵州,邮箱,1163.03
201910272330,85,贵州,邮箱,1187.04
201910272335,85,贵州,邮箱,1161.44
201910272340,85,贵州,邮箱,1518.67
201910272345,85,贵州,邮箱,1133.89
201910272350,85,贵州,邮箱,1183.33
201910272355,85,贵州,邮箱,1064.53
201910280800,85,贵州,邮箱,1786.21
201910280805,85,贵州,邮箱,1830.38
201910280810,85,贵州,邮箱,1831.32
201910280815,85,贵州,邮箱,1900.78
201910280820,85,贵州,邮箱,1843.77
201910280825,85,贵州,邮箱,1858.14
201910280830,85,贵州,邮箱,2216.07
201910280835,85,贵州,邮箱,2117.24
201910280840,85,贵州,邮箱,2453.46
201910280845,85,贵州,邮箱,2343.80
201910280850,85,贵州,邮箱,2266.75
201910280855,85,贵州,邮箱,2339.25
201910280900,85,贵州,邮箱,2543.35
201910280905,85,贵州,邮箱,2244.96
201910280910,85,贵州,邮箱,2106.14
201910280915,85,贵州,邮箱,2147.91
201910280920,85,贵州,邮箱,2291.98
201910280925,85,贵州,邮箱,2366.62
201910280930,85,贵州,邮箱,2282.36
201910280935,85,贵州,邮箱,2615.27
201910280940,85,贵州,邮箱,2618.09
201910280945,85,贵州,邮箱,2356.82
201910280950,85,贵州,邮箱,2616.88
201910280955,85,贵州,邮箱,2519.38
201910281000,85,贵州,邮箱,2412.57
201910281005,85,贵州,邮箱,2492.28
201910281010,85,贵州,邮箱,2608.73
201910281015,85,贵州,邮箱,2582.51
201910281020,85,贵州,邮箱,2836.82
201910281025,85,贵州,邮箱,2441.48
201910281030,85,贵州,邮箱,2640.07
201910281035,85,贵州,邮箱,2562.03
201910281040,85,贵州,邮箱,2511.55
201910281045,85,贵州,邮箱,2585.36
201910281050,85,贵州,邮箱,2386.73
201910281055,85,贵州,邮箱,2738.96
201910281100,85,贵州,邮箱,2659.48
201911140800,85,贵州,邮箱,1646.71
201911140805,85,贵州,邮箱,1703.34
201911140810,85,贵州,邮箱,1652.15
201911140815,85,贵州,邮箱,1650.63
201911140820,85,贵州,邮箱,1590.81
201911140825,85,贵州,邮箱,1692.69
201911140830,85,贵州,邮箱,1652.15
201911140835,85,贵州,邮箱,1889.04
201911140840,85,贵州,邮箱,1870.10
201911140845,85,贵州,邮箱,1977.00
201911140850,85,贵州,邮箱,2104.07
201911140855,85,贵州,邮箱,2204.85
201911140900,85,贵州,邮箱,2387.66
201911140905,85,贵州,邮箱,2072.98
201911140910,85,贵州,邮箱,2479.22
201911140915,85,贵州,邮箱,2172.17
201911140920,85,贵州,邮箱,2113.74
201911140925,85,贵州,邮箱,2384.09
201911140930,85,贵州,邮箱,2485.25
201911140935,85,贵州,邮箱,2601.23
201911140940,85,贵州,邮箱,2418.14
201911140945,85,贵州,邮箱,2140.32
201911140950,85,贵州,邮箱,2134.11
201911140955,85,贵州,邮箱,2494.31
201911141000,85,贵州,邮箱,2557.79
201911141005,85,贵州,邮箱,2310.93
201911141010,85,贵州,邮箱,2733.99
201911141015,85,贵州,邮箱,2504.19
201911141020,85,贵州,邮箱,2466.45
201911141025,85,贵州,邮箱,2547.89
201911141030,85,贵州,邮箱,2780.39
201911141035,85,贵州,邮箱,2487.42
201911141040,85,贵州,邮箱,2378.00
201911141045,85,贵州,邮箱,2238.00
201911141050,85,贵州,邮箱,2221.02
201911141055,85,贵州,邮箱,3502.27
201911141100,85,贵州,邮箱,2338.89
201911141105,85,贵州,邮箱,2382.92
201911141110,85,贵州,邮箱,2520.56
201911141115,85,贵州,邮箱,2454.47
201911141120,85,贵州,邮箱,2280.80
201911141125,85,贵州,邮箱,3697.74
201911141130,85,贵州,邮箱,2538.32
201911141135,85,贵州,邮箱,2352.89
201911141140,85,贵州,邮箱,2552.29
201911141145,85,贵州,邮箱,2706.00
201911141150,85,贵州,邮箱,3315.13
201911141155,85,贵州,邮箱,2473.52
201911141200,85,贵州,邮箱,2377.40
201911141205,85,贵州,邮箱,2205.09
201911141210,85,贵州,邮箱,2626.86
201911141215,85,贵州,邮箱,2278.37
201911141220,85,贵州,邮箱,2130.14
201911141225,85,贵州,邮箱,2577.49
201911141230,85,贵州,邮箱,2517.61
201911141235,85,贵州,邮箱,2597.15
201911141240,85,贵州,邮箱,2826.82
201911141245,85,贵州,邮箱,2492.02
201911141250,85,贵州,邮箱,2644.90
201911141255,85,贵州,邮箱,2567.98
201911141300,85,贵州,邮箱,2741.70
201911141305,85,贵州,邮箱,2194.63
201911141310,85,贵州,邮箱,2153.45
201911141315,85,贵州,邮箱,2211.88
201911141320,85,贵州,邮箱,1991.59
201911141325,85,贵州,邮箱,1970.38
201911141330,85,贵州,邮箱,2422.40
201911141335,85,贵州,邮箱,2071.35
201911141340,85,贵州,邮箱,2123.08
201911141345,85,贵州,邮箱,2114.78
201911141350,85,贵州,邮箱,2124.95
201911141355,85,贵州,邮箱,2234.30
201911141400,85,贵州,邮箱,2359.23
201911141405,85,贵州,邮箱,2057.40
201911141410,85,贵州,邮箱,2135.58
201911141415,85,贵州,邮箱,2233.40
201911141420,85,贵州,邮箱,2209.83
201911141425,85,贵州,邮箱,2657.89
201911141430,85,贵州,邮箱,2348.24
201911141435,85,贵州,邮箱,2266.41
201911141440,85,贵州,邮箱,2357.01
201911141445,85,贵州,邮箱,2337.95
201911141450,85,贵州,邮箱,2340.20
201911141455,85,贵州,邮箱,2222.59
201911141500,85,贵州,邮箱,2642.54
201911141505,85,贵州,邮箱,2287.10
201911141510,85,贵州,邮箱,2695.74
201911141515,85,贵州,邮箱,2540.37
201911141520,85,贵州,邮箱,2076.90
201911141525,85,贵州,邮箱,2069.31
201911141530,85,贵州,邮箱,2296.10
201911141535,85,贵州,邮箱,2402.20
201911141540,85,贵州,邮箱,2335.19
201911141545,85,贵州,邮箱,2229.28
201911141550,85,贵州,邮箱,2391.46
201911141555,85,贵州,邮箱,2051.99
201911141600,85,贵州,邮箱,2355.26
201911141605,85,贵州,邮箱,2501.93
201911141610,85,贵州,邮箱,2489.64
201911141615,85,贵州,邮箱,2303.07
201911141620,85,贵州,邮箱,2251.78
201911141625,85,贵州,邮箱,1923.51
201911141630,85,贵州,邮箱,1934.17
201911141635,85,贵州,邮箱,2227.56
201911141640,85,贵州,邮箱,2176.88
201911141645,85,贵州,邮箱,2379.68
201911141650,85,贵州,邮箱,2156.56
201911141655,85,贵州,邮箱,2008.67
201911141700,85,贵州,邮箱,1937.23
201911141705,85,贵州,邮箱,1953.15
201911141710,85,贵州,邮箱,2031.83
201911141715,85,贵州,邮箱,2086.79
201911141720,85,贵州,邮箱,2200.31
201911141725,85,贵州,邮箱,2110.68
201911141730,85,贵州,邮箱,2219.93
201911141735,85,贵州,邮箱,2107.92
201911141740,85,贵州,邮箱,1997.07
201911141745,85,贵州,邮箱,2227.55
201911141750,85,贵州,邮箱,2072.43
201911141755,85,贵州,邮箱,2055.69
201911141800,85,贵州,邮箱,2094.18
201911141805,85,贵州,邮箱,1883.64
201911141810,85,贵州,邮箱,1968.91
201911141815,85,贵州,邮箱,1978.33
201911141820,85,贵州,邮箱,1915.45
201911141825,85,贵州,邮箱,1821.68
201911141830,85,贵州,邮箱,1708.43
201911141835,85,贵州,邮箱,1764.22
201911141840,85,贵州,邮箱,1722.11
201911141845,85,贵州,邮箱,1824.89
201911141850,85,贵州,邮箱,1720.09
201911141855,85,贵州,邮箱,1633.26
201911141900,85,贵州,邮箱,1808.76
201911141905,85,贵州,邮箱,1899.88
201911141910,85,贵州,邮箱,1689.91
201911141915,85,贵州,邮箱,1906.75
201911141920,85,贵州,邮箱,1639.33
201911141925,85,贵州,邮箱,1601.29
201911141930,85,贵州,邮箱,1650.34
201911141935,85,贵州,邮箱,1572.22
201911141940,85,贵州,邮箱,1636.64
201911141945,85,贵州,邮箱,1684.85
201911141950,85,贵州,邮箱,1536.76
201911141955,85,贵州,邮箱,1634.29
201911142000,85,贵州,邮箱,1773.41
201911142005,85,贵州,邮箱,2159.67
201911142010,85,贵州,邮箱,1670.14
201911142015,85,贵州,邮箱,1758.65
201911142020,85,贵州,邮箱,1637.67
201911142025,85,贵州,邮箱,1711.77
201911142030,85,贵州,邮箱,1546.47
201911142035,85,贵州,邮箱,1510.93
201911142040,85,贵州,邮箱,1563.82
201911142045,85,贵州,邮箱,1453.84
201911142050,85,贵州,邮箱,1750.19
201911142055,85,贵州,邮箱,1510.75
201911142100,85,贵州,邮箱,1381.50
201911142105,85,贵州,邮箱,1662.83
201911142110,85,贵州,邮箱,1783.95
201911142115,85,贵州,邮箱,1701.61
201911142120,85,贵州,邮箱,1746.92
201911142125,85,贵州,邮箱,2117.54
201911142130,85,贵州,邮箱,1770.68
201911142135,85,贵州,邮箱,1654.48
201911142140,85,贵州,邮箱,1580.79
201911142145,85,贵州,邮箱,1578.32
201911142150,85,贵州,邮箱,1660.71
201911142155,85,贵州,邮箱,1786.57
201911142200,85,贵州,邮箱,1596.65
201911142205,85,贵州,邮箱,1503.95
201911142210,85,贵州,邮箱,1739.70
201911142215,85,贵州,邮箱,1638.13
201911142220,85,贵州,邮箱,1559.40
201911142225,85,贵州,邮箱,1431.67
201911142230,85,贵州,邮箱,1578.18
201911142235,85,贵州,邮箱,1672.84
201911142240,85,贵州,邮箱,1610.00
201911142245,85,贵州,邮箱,1332.30
201911142250,85,贵州,邮箱,1754.57
201911142255,85,贵州,邮箱,1697.22
201911142300,85,贵州,邮箱,1557.61
201911142305,85,贵州,邮箱,1437.20
201911142310,85,贵州,邮箱,1509.23
201911142315,85,贵州,邮箱,1394.67
201911142320,85,贵州,邮箱,1346.19
201911142325,85,贵州,邮箱,1216.31
201911142330,85,贵州,邮箱,1276.89
201911142335,85,贵州,邮箱,1388.53
201911142340,85,贵州,邮箱,1561.33
201911142345,85,贵州,邮箱,1274.25
201911142350,85,贵州,邮箱,1433.20
201911142355,85,贵州,邮箱,1512.63
201911150800,85,贵州,邮箱,1957.12
201911150805,85,贵州,邮箱,1834.99
201911150810,85,贵州,邮箱,1844.30
201911150815,85,贵州,邮箱,1820.85
201911150820,85,贵州,邮箱,1730.35
201911150825,85,贵州,邮箱,1893.08
201911150830,85,贵州,邮箱,1803.85
201911150835,85,贵州,邮箱,1679.08
201911150840,85,贵州,邮箱,1917.98
201911150845,85,贵州,邮箱,1876.53
201911150850,85,贵州,邮箱,1968.96
201911150855,85,贵州,邮箱,2128.49
201911150900,85,贵州,邮箱,2280.90
201911150905,85,贵州,邮箱,2141.66
201911150910,85,贵州,邮箱,2041.34
201911150915,85,贵州,邮箱,2242.54
201911150920,85,贵州,邮箱,2504.45
201911150925,85,贵州,邮箱,2182.49
201911150930,85,贵州,邮箱,2393.15
201911150935,85,贵州,邮箱,2298.68
201911150940,85,贵州,邮箱,2433.88
201911150945,85,贵州,邮箱,2576.68
201911150950,85,贵州,邮箱,2547.77
201911150955,85,贵州,邮箱,2301.52
201911151000,85,贵州,邮箱,2513.56
201911151005,85,贵州,邮箱,2404.26
201911151010,85,贵州,邮箱,2655.83
201911151015,85,贵州,邮箱,2654.15
201911151020,85,贵州,邮箱,2495.86
201911151025,85,贵州,邮箱,2491.29
201911151030,85,贵州,邮箱,2614.89
201911151035,85,贵州,邮箱,2426.89
201911151040,85,贵州,邮箱,2466.37
201911151045,85,贵州,邮箱,2485.25
201911151050,85,贵州,邮箱,2440.92
201911151055,85,贵州,邮箱,2728.19
201911151100,85,贵州,邮箱,2778.76
201911151105,85,贵州,邮箱,2848.33
201911151110,85,贵州,邮箱,2548.65
201911151115,85,贵州,邮箱,2668.57
201911151120,85,贵州,邮箱,2610.88
201911151125,85,贵州,邮箱,2609.42
201911151130,85,贵州,邮箱,2483.93
